Unnamed: 0,Site$,Time,Required,PA$,Game Name,xxx,Per Level,Per Range,Ranked,perDiv,perPoint,RPMin,RPDiff
,,,,,,01-05,0,0.0,,,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,,Bronze IV,8,0.02675585284,1,299.0
,,,,,,10-15,0,,Bronze III,8,0.02666666667,300,300.0
Apex Most Popular Services,,,,,Copy & Paste Like The Example,15-20,0,,Bronze II,8,0.02666666667,600,300.0
,,,    ,,,20-25,0,,Bronze I,10,0.03333333333,900,300.0
Kill Boost x 100,40.0,1.00 Days,,50.0,Game: Apex Legends,25-30,0,,Silver IV,10,0.025,1200,400.0
Kill Boost x 1000,400.0,7.00 Days,,500.0,Platform (PC/PS4/XBOX):,30-35,0,,Silver III,10,0.025,1600,400.0
Unlock Marching Orders G7 Skin,30.0,0.5,,37.5,Service Requested:,35-40,0,,Silver II,10,0.025,2000,400.0
Capture the Winter Express 3 times,5.0,0.5,,6.25,Account Login:,40-45,0,,Silver I,15,0.0375,2400,400.0
Capture the Winter Express 15 times,10.0,1,,12.5,Account Password:,45-50,0,,Gold IV,20,0.04,2800,500.0
Capture the Winter Express 75 times,65.0,3,,81.25,Email for Updates:,50-55,0,,Gold III,20,0.04,3300,500.0
Legends Wake (Per Legend),87.0,2,,108.75,,55-60,0,,Gold II,25,0.05,3800,500.0
Assassin IV,300.0,7,,375.0,Example,60-65,0,,Gold I,30,0.06,4300,500.0
Wrath IV,130.0,6,,162.5,,65-70,0,,Platinum IV,35,0.05833333333,4800,600.0
Squad Wipe,15.0,1,,18.75,Game: Apex Legends,70-75,0,,Platinum III,45,0.075,5400,600.0
,,,,,Platform (PC/PS4/XBOX): PC,75-80,0,,Platinum II,50,0.08333333333,6000,600.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Service Requested: Silver IV to Silver II,80-85,0,,Platinum I,55,0.09166666667,6600,600.0
,,,,,Account Login: exampleLogin,85-90,0,,Diamond IV,60,0.08571428571,7200,700.0
Division Boost,,,,,Account Password: examplePassword,90-95,0,,Diamond III,70,0.1,7900,700.0
,,,,,Email for Updates: example@example.com,95-100,0,,Diamond II,80,0.1142857143,8600,700.0
Bronze IV to Bronze III,8.0,1,,10.0,,100-105,0,,Diamond I,90,0.1285714286,9300,700.0
Bronze III to Bronze II,8.0,1,,10.0,,105-110,0,,Master,659,,10000,
Bronze II to Bronze I,8.0,1,,10.0,,110-115,0,,,,,,
Bronze I to Silver IV,10.0,1,,12.5,,115-120,0,,,,,,
Silver IV to Silver III,10.0,1,,12.5,,120-125,0,,,,,,
Silver III to Silver II,10.0,1,,12.5,,125-130,0,,,,,,
Silver II to Silver I,10.0,1,,12.5,,130-135,0,,,,,,
Silver I to Gold IV,15.0,1,,18.75,,135-140,0,,,,,,
Gold IV to Gold III,20.0,1,,25.0,,140-145,0,,,,,,
Gold III to Gold II,20.0,1,,25.0,,145-150,0,,,,,,
Gold II to Gold I,25.0,1,,31.25,,150-155,0,,,,,,
Gold I to Platinum IV,30.0,1,,37.5,,155-160,0,,,,,,
Platinum IV to Platinum III,35.0,1,,43.75,,160-165,0,,,,,,
Platinum III to Platinum II,45.0,1,,56.25,,165-170,0,,,,,,
Platinum II to Platinum I,50.0,1,,62.5,,175-180,0,,Ranked Point,Per Point,Per Bracket,Calc,
Platinum I to Diamond IV,55.0,1,,68.75,,180-185,0,,1,0.02675585284,2.648829431,0,
Diamond IV to Diamond III,60.0,1,,75.0,,185-190,0,,100,0.02675585284,2.675585284,2.648829431,
Diamond III to Diamond II,70.0,1,,87.5,,190-195,0,,200,0.02675585284,2.675585284,5.324414716,
Diamond II to Diamond I,80.0,1,,100.0,,195-200,0,,300,0.02666666667,2.666666667,8,
Diamond I to Master,90.0,2,,112.5,,,,0.0,400,0.02666666667,2.666666667,10.66666667,
,,,,,,,,,500,0.02666666667,2.666666667,13.33333333,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://user.playerauctions.com/offerCreation/?offerid=174626824&type=powerleveling&actiontype=copy,Current,1,,600,0.02666666667,2.666666667,16,
,,,,,,Desired,60,,700,0.02666666667,2.666666667,18.66666667,
Win Boost,,,,,https://www.epicnpc.com/threads/pc-xbox-ps4-apex-legends-boosting-achievements.1432371/,Site,0,,800,0.02666666667,2.666666667,21.33333333,
,,,,,https://www.ownedcore.com/forums/mmo-trading-market/apex-legends-buy-sell-trade/803421-ogedge-apex-legends-division-boosting-achievement-badges-leveling.html,0.2,0,,900,0.03333333333,3.333333333,24,
1 Win,5.0,0.2,,6.25,https://www.elitepvpers.com/forum/apex-legends-trading/4595541-pc-apex-legends-leveling-1-50-85-1-100-235-a.html,0.8,,,1000,0.03333333333,3.333333333,27.33333333,
5 Wins,25.0,0.5,,31.25,https://www.sythe.org/threads/pc-xbox-ps4-apex-legends-boosting-achievements/,Markup,200,,1100,0.03333333333,3.333333333,30.66666667,
15 Wins,75.0,2,,93.75,,0.2,250,,1200,0.025,2.5,34,
100 Wins,500.0,6,,625.0,,,,,1300,0.025,2.5,36.5,
,,,,,,,,,1400,0.025,2.5,39,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,Level,Cumulative,,1500,0.025,2.5,41.5,
,,,,,,1,0,,1600,0.025,2.5,44,
Kill Boost,,,,,,2,,,1700,0.025,2.5,46.5,
,,,,,,3,,,1800,0.025,2.5,49,
10 Kills,4.0,0.1,,5.0,,4,,,1900,0.025,2.5,51.5,
50 Kills,20.0,0.25,,25.0,,5,,,2000,0.025,2.5,54,
100 Kills,40.0,1,,50.0,,6,,,2100,0.025,2.5,56.5,
500 Kills,200.0,5,,250.0,,7,,,2200,0.025,2.5,59,
1000 Kills,400.0,7,,500.0,,8,,,2300,0.025,2.5,61.5,
,,,,,,9,,,2400,0.0375,3.75,64,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,10,,,2500,0.0375,3.75,67.75,
,,,,,,11,,,2600,0.0375,3.75,71.5,
Achievement Badges,,,,,,12,,,2700,0.0375,3.75,75.25,
,,,,,,13,,,2800,0.04,4,79,
Assassin I,20.0,0.5,,25.0,,14,,,2900,0.04,4,83,
Assassin II,50.0,0.5,,62.5,,15,,,3000,0.04,4,87,
Assassin III,150.0,3,,187.5,,16,,,3100,0.04,4,91,
Assassin IV,300.0,7,,375.0,,17,,,3200,0.04,4,95,
Deadeye,15.0,1,,18.75,,18,,,3300,0.04,4,99,
Decked Out,100.0,2,,125.0,,19,,,3400,0.04,4,103,
Double Duty,30.0,1,,37.5,,20,,,3500,0.04,4,107,
Flawless Victory I,25.0,1,,31.25,,21,,,3600,0.04,4,111,
Flawless Victory II,40.0,1,,50.0,,22,,,3700,0.04,4,115,
Headshot Hotshot,35.0,0.5,,43.75,,23,,,3800,0.05,5,119,
Hot Streak,35.0,1,,43.75,,24,,,3900,0.05,5,124,
Legends Wake (All 12 Legends),700.0,14,,875.0,,25,,,4000,0.05,5,129,
Legends Wake (Per Legend),65.0,2,,81.25,,26,,,4100,0.05,5,134,
Long Shot,40.0,1,,50.0,,27,,,4200,0.05,5,139,
Master Of All (All 12 Legends),400.0,5,,500.0,,28,,,4300,0.06,6,144,
Master Of All (Per Win),5.0,0.2,,6.25,,29,,,4400,0.06,6,150,
No Witnesses,60.0,2,,75.0,,30,,,4500,0.06,6,156,
Pack Victory,25.0,1,,31.25,,31,,,4600,0.06,6,162,
Rapid Elimination,45.0,2,,56.25,,32,,,4700,0.06,6,168,
Reinforcement Recall,15.0,1,,18.75,,33,,,4800,0.05833333333,5.833333333,174,
Squad Wipe,15.0,1,,18.75,,34,,,4900,0.05833333333,5.833333333,179.8333333,
Team Work I,30.0,2,,37.5,,35,,,5000,0.05833333333,5.833333333,185.6666667,
Team Work II,70.0,2,,87.5,,36,,,5100,0.05833333333,5.833333333,191.5,
Team Work III,130.0,2,,162.5,,37,,,5200,0.05833333333,5.833333333,197.3333333,
Team Work IV,210.0,2,,262.5,,38,,,5300,0.05833333333,5.833333333,203.1666667,
Triple Triple,60.0,2,,75.0,,39,,,5400,0.075,7.5,209,
Well-Rounded (All 12 Legends),240.0,7,,300.0,,40,,,5500,0.075,7.5,216.5,
Well-Rounded (Per Legend),20.0,1,,25.0,,41,,,5600,0.075,7.5,224,
Wrath I,20.0,1,,25.0,,42,,,5700,0.075,7.5,231.5,
Wrath II,40.0,3,,50.0,,43,,,5800,0.075,7.5,239,
Wrath III,80.0,5,,100.0,,44,,,5900,0.075,7.5,246.5,
Wrath IV,130.0,6,,162.5,,45,,,6000,0.08333333333,8.333333333,254,
Fully Kitted,10.0,0.2,,12.5,,46,,,6100,0.08333333333,8.333333333,262.3333333,
Group Theatrics 1,15.0,0.2,,18.75,,47,,,6200,0.08333333333,8.333333333,270.6666667,
Group Theatrics 2,30.0,0.5,,37.5,,48,,,6300,0.08333333333,8.333333333,279,
Group Theatrics 3,40.0,0.2,,50.0,,49,,,6400,0.08333333333,8.333333333,287.3333333,
No One Left Behind,12.0,0.2,,15.0,,50,,,6500,0.08333333333,8.333333333,295.6666667,
Power of Two 1 win,8.0,0.2,,10.0,,51,,,6600,0.09166666667,9.166666667,304,
Power of Two 2 win,16.0,0.2,,20.0,,52,,,6700,0.09166666667,9.166666667,313.1666667,
Power of Two 4 win,32.0,0.2,,40.0,,53,,,6800,0.09166666667,9.166666667,322.3333333,
Power of Two 8 win,64.0,0.2,,80.0,,54,,,6900,0.09166666667,9.166666667,331.5,
,,,,,,55,,,7000,0.09166666667,9.166666667,340.6666667,
,,,,,,56,,,7100,0.09166666667,9.166666667,349.8333333,
,,,,,,57,,,7200,0.08571428571,8.571428571,359,
,,,,,,58,,,7300,0.08571428571,8.571428571,367.5714286,
,,,,,,59,,,7400,0.08571428571,8.571428571,376.1428571,
,,,,,,60,,,7500,0.08571428571,8.571428571,384.7142857,
,,,,,,61,,,7600,0.08571428571,8.571428571,393.2857143,
,,,,,,62,,,7700,0.08571428571,8.571428571,401.8571429,
,,,,,,63,,,7800,0.08571428571,8.571428571,410.4285714,
,,,,,,64,,,7900,0.1,10,419,
,,,,,,65,,,8000,0.1,10,429,
,,,,,,66,,,8100,0.1,10,439,
,,,,,,67,,,8200,0.1,10,449,
,,,,,,68,,,8300,0.1,10,459,
,,,,,,69,,,8400,0.1,10,469,
,,,,,,70,,,8500,0.1,10,479,
,,,,,,71,,,8600,0.1142857143,11.42857143,489,
,,,,,,72,,,8700,0.1142857143,11.42857143,500.4285714,
,,,,,,73,,,8800,0.1142857143,11.42857143,511.8571429,
,,,,,,74,,,8900,0.1142857143,11.42857143,523.2857143,
,,,,,,75,,,9000,0.1142857143,11.42857143,534.7142857,
,,,,,,76,,,9100,0.1142857143,11.42857143,546.1428571,
,,,,,,77,,,9200,0.1142857143,11.42857143,557.5714286,
,,,,,,78,,,9300,0.1285714286,12.85714286,569,
,,,,,,79,,,9400,0.1285714286,12.85714286,581.8571429,
,,,,,,80,,,9500,0.1285714286,12.85714286,594.7142857,
,,,,,,81,,,9600,0.1285714286,12.85714286,607.5714286,
,,,,,,82,,,9700,0.1285714286,12.85714286,620.4285714,
,,,,,,83,,,9800,0.1285714286,12.85714286,633.2857143,
,,,,,,84,,,9900,0.1285714286,12.85714286,646.1428571,
,,,,,,85,,,10000,$ -,,659,
,,,,,,86,,,,,,,
,,,,,,87,,,,,,,
,,,,,,88,,,,,,,
,,,,,,89,,,,,,,
,,,,,,90,,,,,,,
,,,,,,91,,,,,,,
,,,,,,92,,,,,,,
,,,,,,93,,,,,,,
,,,,,,94,,,,,,,
,,,,,,95,,,,,,,
,,,,,,96,,,,,,,
,,,,,,97,,,,,,,
,,,,,,98,,,,,,,
,,,,,,99,,,,,,,
,,,,,,100,,,,,,,
,,,,,,101,,,,,,,
,,,,,,102,,,,,,,
,,,,,,103,,,,,,,
,,,,,,104,,,,,,,
,,,,,,105,,,,,,,
,,,,,,106,,,,,,,
,,,,,,107,,,,,,,
,,,,,,108,,,,,,,
,,,,,,109,,,,,,,
,,,,,,110,,,,,,,
,,,,,,111,,,,,,,
,,,,,,112,,,,,,,
,,,,,,113,,,,,,,
,,,,,,114,,,,,,,
,,,,,,115,,,,,,,
,,,,,,116,,,,,,,
,,,,,,117,,,,,,,
,,,,,,118,,,,,,,
,,,,,,119,,,,,,,
,,,,,,120,,,,,,,
,,,,,,121,,,,,,,
,,,,,,122,,,,,,,
,,,,,,123,,,,,,,
,,,,,,124,,,,,,,
,,,,,,125,,,,,,,
,,,,,,126,,,,,,,
,,,,,,127,,,,,,,
,,,,,,128,,,,,,,
,,,,,,129,,,,,,,
,,,,,,130,,,,,,,
,,,,,,131,,,,,,,
,,,,,,132,,,,,,,
,,,,,,133,,,,,,,
,,,,,,134,,,,,,,
,,,,,,135,,,,,,,
,,,,,,136,,,,,,,
,,,,,,137,,,,,,,
,,,,,,138,,,,,,,
,,,,,,139,,,,,,,
,,,,,,140,,,,,,,
,,,,,,141,,,,,,,
,,,,,,142,,,,,,,
,,,,,,143,,,,,,,
,,,,,,144,,,,,,,
,,,,,,145,,,,,,,
,,,,,,146,,,,,,,
,,,,,,147,,,,,,,
,,,,,,148,,,,,,,
,,,,,,149,,,,,,,
,,,,,,150,,,,,,,
,,,,,,151,,,,,,,
,,,,,,152,,,,,,,
,,,,,,153,,,,,,,
,,,,,,154,,,,,,,
,,,,,,155,,,,,,,
,,,,,,156,,,,,,,
,,,,,,157,,,,,,,
,,,,,,158,,,,,,,
,,,,,,159,,,,,,,
,,,,,,160,,,,,,,
,,,,,,161,,,,,,,
,,,,,,162,,,,,,,
,,,,,,163,,,,,,,
,,,,,,164,,,,,,,
,,,,,,165,,,,,,,
,,,,,,166,,,,,,,
,,,,,,167,,,,,,,
,,,,,,168,,,,,,,
,,,,,,169,,,,,,,
,,,,,,170,,,,,,,
,,,,,,171,,,,,,,
,,,,,,172,,,,,,,
,,,,,,173,,,,,,,
,,,,,,174,,,,,,,
,,,,,,175,,,,,,,
,,,,,,176,,,,,,,
,,,,,,177,,,,,,,
,,,,,,178,,,,,,,
,,,,,,179,,,,,,,
,,,,,,180,,,,,,,
,,,,,,181,,,,,,,
,,,,,,182,,,,,,,
,,,,,,183,,,,,,,
,,,,,,184,,,,,,,
,,,,,,185,,,,,,,
,,,,,,186,,,,,,,
,,,,,,187,,,,,,,
,,,,,,188,,,,,,,
,,,,,,189,,,,,,,
,,,,,,190,,,,,,,
,,,,,,191,,,,,,,
,,,,,,192,,,,,,,
,,,,,,193,,,,,,,
,,,,,,194,,,,,,,
,,,,,,195,,,,,,,
,,,,,,196,,,,,,,
,,,,,,197,,,,,,,
,,,,,,198,,,,,,,
,,,,,,199,0,,,,,,
,,,,,,200,0,,,,,,
