a,Site & PA$,Time,Required,PA$,Game Name,Vanguard,Per Level,Per Range,CW,Per Level.1,Per Range.1,MW,Per Level.2,Per Range.2
,,,,,,01-05,2,8.0,01-05,1,4.0,01-05,5,20.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,05-10,1,5.0,05-10,5,25.0
,,,,,,10-15,2,10.0,10-15,3,15.0,10-15,5,25.0
Warzone Battle Royale Wins,,,,,Copy & Paste Like The Example,15-20,2,10.0,15-20,3,15.0,15-20,5,25.0
,,,,,,20-25,2,10.0,20-25,3,15.0,20-25,5,25.0
Warzone Battle Royale Win x1,15.0,3.0,,15.0,Game: COD Vanguard,25-30,2,10.0,25-30,3,15.0,25-30,5,25.0
Warzone Battle Royale Win x5,75.0,10.0,,75.0,Game: COD Cold War,30-35,2,10.0,30-35,3,15.0,30-35,5,25.0
Warzone Battle Royale Win x10,150.0,24.0,,150.0,Game: COD Modern Warfare,35-40,3,15.0,35-40,3,15.0,35-40,7,35.0
,,,,,Platform (PC/PS4/XBOX):,40-45,4,20.0,40-45,4,20.0,40-45,7,35.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Service Requested: ,45-50,5,25.0,45-50,5,25.0,45-50,7,35.0
,,,,,Login: ,50-55,5,25.0,50-55,5,25.0,50-55,7,35.0
Warzone Battle Royale Duo Wins,,,,,Password: ,55-60,2,10.0,55-60,2,10.0,55-60,2,10.0
,,,,,Email for Updates:,60-65,2,10.0,60-65,2,10.0,60-65,2,10.0
Wins with One Booster,20.0,,,20.0,,65-70,2,10.0,65-70,2,10.0,65-70,2,10.0
Wins with Two Boosters,25.0,,,25.0,Example,70-75,2,10.0,70-75,2,10.0,70-75,2,10.0
Wins with Three Boosters,35.0,,,35.0,,75-80,2,10.0,75-80,2,10.0,75-80,2,10.0
,,,,,Game: COD Modern Warfare,80-85,3,15.0,80-85,3,15.0,80-85,3,15.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Platform (PC/PS4/XBOX): PC,85-90,3,15.0,85-90,3,15.0,85-90,3,15.0
,,,,,Service Requested: Rank 25-55,90-95,3,15.0,90-95,3,15.0,90-95,3,15.0
Vanguard Rank Boosting,,,,,Login: exampleLogin,95-100,3,15.0,95-100,3,15.0,95-100,3,15.0
,,,    ,,Password: examplePass,100-105,3,15.0,100-105,3,15.0,100-105,3,15.0
01-55,153.0,66.0,,153.0,Email for Updates: example@example.com,105-110,4,20.0,105-110,4,20.0,105-110,4,20.0
55-155,345.0,240.0,,345.0,,110-115,4,20.0,110-115,4,20.0,110-115,4,20.0
,,,,,,115-120,4,20.0,115-120,4,20.0,115-120,4,20.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Use Site pricing for PA,120-125,4,20.0,120-125,4,20.0,120-125,4,20.0
,,,,,,125-130,4,20.0,125-130,4,20.0,125-130,4,20.0
Vanguard Camouflage Unlock,,,,,[Vanguard/Cold War/Modern Warfare Rank Boosting | Battle Royale | Camouflage | Weapon Leveling,130-135,4,20.0,130-135,4,20.0,130-135,4,20.0
,,,,,,135-140,5,25.0,135-140,5,25.0,135-140,5,25.0
Discounts for partial completion available,,,,,,140-145,5,25.0,140-145,5,25.0,140-145,5,25.0
,,,,,,145-150,5,25.0,145-150,5,25.0,145-150,5,25.0
Gold Camouflage (Per Gun),85.0,1.0,,85.0,https://user.playerauctions.com/offerCreation/?offerid=174630780&type=powerleveling&actiontype=copy,150-155,5,25.0,150-155,5,25.0,150-155,5,25.0
Diamond Camouflage (Per Gun Type),450.0,7.0,,450.0,,155-160,0,,155-160,0,,155-160,0,
Atomic Camouflage (Full Progress Needed),2300.0,28.0,,2300.0,https://www.epicnpc.com/threads/ogedge-com-boosting-vanguard-cold-war-modern-warfare-warzone.2141568/,160-165,0,,160-165,0,,160-165,0,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=961291&p=4346877#post4346877,165-170,0,,165-170,0,,165-170,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://www.elitepvpers.com/forum/call-duty-trading/4679640-ogedge-com-cod-modern-warfare-boosting-camo-challenges-missions-weapon-lvling.html#post37806152,175-180,0,,175-180,0,,175-180,0,
,,,,,https://www.sythe.org/threads/cod-modern-warefare-rank-boosting-campaign-multiplayer-missions-weapons-ribbons-more/,180-185,0,,180-185,0,,180-185,0,
Vanguard DLC Weapon Unlock,,,,,,185-190,0,,185-190,0,,185-190,0,
,,,,,,190-195,0,,190-195,0,,190-195,0,
Weapon Unlock via Challenge,50.0,12.0,,50.0,,195-200,0,,195-200,0,,195-200,0,
,,,,,,,,498.0,,,514.0,,,655.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,,,,,,,
,,,,,,Current,27,,Current,1,,Current,1,
Cold War Level Boosting,,,,,,Desired,100,,Desired,200,,Desired,200,
,,,,,,Site,211,,Site,514,,Site,655,
Leveling 1-55,169.0,48.0,,169.0,,0,211,,0,514,,0,655,
Leveling 1-40,99.0,24.0,,99.0,,1,,,1,,,1,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,Markup,200,,Markup,200,,Markup,200,
,,,,,,0.2,250,,0.2,250,,0.2,250,
Cold War Achievements & Calling Cards,,,,,,,,,,,,,,
Nuke,110.0,48.0,,110.0,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
Nuked Out FFA,170.0,48.0,,170.0,,1,0,,1,0,,1,0,
Die Machine Easter Egg,80.0,24.0,,80.0,,2,2,,2,1,,2,5,
,,,,,,3,4,,3,2,,3,10,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,4,6,,4,3,,4,15,
,,,,,,5,8,,5,4,,5,20,
Cold War Weapon Leveling,,,,,,6,10,,6,5,,6,25,
,,,,,,7,12,,7,6,,7,30,
Max Level per Weapon,55.0,1.0,,55.0,,8,14,,8,7,,8,35,
,,,,,,9,16,,9,8,,9,40,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,10,18,,10,9,,10,45,
,,,,,,11,20,,11,12,,11,50,
Cold War Camouflage Unlock,,,,,,12,22,,12,15,,12,55,
,,,,,,13,24,,13,18,,13,60,
Required: Weapon Unlocked,,,,,,14,26,,14,21,,14,65,
Discounts for partial completion available,,,,,,15,28,,15,24,,15,70,
,,,,,,16,30,,16,27,,16,75,
Gold Camouflage (Per Gun),80.0,2.0,,80.0,,17,32,,17,30,,17,80,
Gold Viper Camouflage (Per Gun),140.0,3.0,,140.0,,18,34,,18,33,,18,85,
,,,,,,19,36,,19,36,,19,90,
Diamond Camouflage (Per Gun Type),300.0,7.0,,300.0,,20,38,,20,39,,20,95,
Plague Diamond Camouflage (Per Gun Type),400.0,10.0,,400.0,,21,40,,21,42,,21,100,
,,,,,,22,42,,22,45,,22,105,
Dark Matter Camouflage (Full Progress Needed),1450.0,22.0,,1450.0,,23,44,,23,48,,23,110,
Dark Aether Camouflage (Full Progress Needed),1800.0,34.0,,1800.0,,24,46,,24,51,,24,115,
,,,,,,25,48,,25,54,,25,120,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,26,50,,26,57,,26,125,
,,,,,,27,52,,27,60,,27,130,
Modern Warfare Rank Boosting,,,,,,28,54,,28,63,,28,135,
,,,,,,29,56,,29,66,,29,140,
01-55,310.0,48.0,,310.0,,30,58,,30,69,,30,145,
55-155,345.0,24.0,,345.0,,31,60,,31,72,,31,150,
,,,,,,32,62,,32,75,,32,155,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,33,64,,33,78,,33,160,
,,,,,,34,66,,34,81,,34,165,
Modern Warfare Camouflage Unlock,,,,,,35,68,,35,84,,35,170,
,,,,,,36,71,,36,87,,36,177,
Required: Full Game Unlocked,,,,,,37,74,,37,90,,37,184,
Discounts for partial completion available,,,,,,38,77,,38,93,,38,191,
Required for Obsidian Camouflage: Gold unlocked,,,,,,39,80,,39,96,,39,198,
,,,,,,40,83,,40,99,,40,205,
Gold Camouflage (Per Gun),75.0,1.0,,75.0,,41,87,,41,103,,41,212,
Polyatomic Camouflage (Per Gun),100.0,2.0,,100.0,,42,91,,42,107,,42,219,
Platinum Camouflage (Per Gun Type),250.0,5.0,,250.0,,43,95,,43,111,,43,226,
Damascus Camouflage (Full Progress Needed),1650.0,20.0,,1650.0,,44,99,,44,115,,44,233,
,,,,,,45,103,,45,119,,45,240,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,46,108,,46,124,,46,247,
,,,,,,47,113,,47,129,,47,254,
Modern Warfare Misc,,,,,,48,118,,48,134,,48,261,
,,,,,,49,123,,49,139,,49,268,
Nuclear Calling Card,100.0,1.0,,100.0,,50,128,,50,144,,50,275,
Akimbo Unlock,60.0,24.0,,60.0,,51,133,,51,149,,51,282,
,,,,,,52,138,,52,154,,52,289,
,,,,,,53,143,,53,159,,53,296,
,,,,,,54,148,,54,164,,54,303,
,,,,,,55,153,,55,169,,55,310,
,,,,,,56,155,,56,171,,56,312,
,,,,,,57,157,,57,173,,57,314,
,,,,,,58,159,,58,175,,58,316,
,,,,,,59,161,,59,177,,59,318,
,,,,,,60,163,,60,179,,60,320,
,,,,,,61,165,,61,181,,61,322,
,,,,,,62,167,,62,183,,62,324,
,,,,,,63,169,,63,185,,63,326,
,,,,,,64,171,,64,187,,64,328,
,,,,,,65,173,,65,189,,65,330,
,,,,,,66,175,,66,191,,66,332,
,,,,,,67,177,,67,193,,67,334,
,,,,,,68,179,,68,195,,68,336,
,,,,,,69,181,,69,197,,69,338,
,,,,,,70,183,,70,199,,70,340,
,,,,,,71,185,,71,201,,71,342,
,,,,,,72,187,,72,203,,72,344,
,,,,,,73,189,,73,205,,73,346,
,,,,,,74,191,,74,207,,74,348,
,,,,,,75,193,,75,209,,75,350,
,,,,,,76,195,,76,211,,76,352,
,,,,,,77,197,,77,213,,77,354,
,,,,,,78,199,,78,215,,78,356,
,,,,,,79,201,,79,217,,79,358,
,,,,,,80,203,,80,219,,80,360,
,,,,,,81,206,,81,222,,81,363,
,,,,,,82,209,,82,225,,82,366,
,,,,,,83,212,,83,228,,83,369,
,,,,,,84,215,,84,231,,84,372,
,,,,,,85,218,,85,234,,85,375,
,,,,,,86,221,,86,237,,86,378,
,,,,,,87,224,,87,240,,87,381,
,,,,,,88,227,,88,243,,88,384,
,,,,,,89,230,,89,246,,89,387,
,,,,,,90,233,,90,249,,90,390,
,,,,,,91,236,,91,252,,91,393,
,,,,,,92,239,,92,255,,92,396,
,,,,,,93,242,,93,258,,93,399,
,,,,,,94,245,,94,261,,94,402,
,,,,,,95,248,,95,264,,95,405,
,,,,,,96,251,,96,267,,96,408,
,,,,,,97,254,,97,270,,97,411,
,,,,,,98,257,,98,273,,98,414,
,,,,,,99,260,,99,276,,99,417,
,,,,,,100,263,,100,279,,100,420,
,,,,,,101,266,,101,282,,101,423,
,,,,,,102,269,,102,285,,102,426,
,,,,,,103,272,,103,288,,103,429,
,,,,,,104,275,,104,291,,104,432,
,,,,,,105,278,,105,294,,105,435,
,,,,,,106,282,,106,298,,106,439,
,,,,,,107,286,,107,302,,107,443,
,,,,,,108,290,,108,306,,108,447,
,,,,,,109,294,,109,310,,109,451,
,,,,,,110,298,,110,314,,110,455,
,,,,,,111,302,,111,318,,111,459,
,,,,,,112,306,,112,322,,112,463,
,,,,,,113,310,,113,326,,113,467,
,,,,,,114,314,,114,330,,114,471,
,,,,,,115,318,,115,334,,115,475,
,,,,,,116,322,,116,338,,116,479,
,,,,,,117,326,,117,342,,117,483,
,,,,,,118,330,,118,346,,118,487,
,,,,,,119,334,,119,350,,119,491,
,,,,,,120,338,,120,354,,120,495,
,,,,,,121,342,,121,358,,121,499,
,,,,,,122,346,,122,362,,122,503,
,,,,,,123,350,,123,366,,123,507,
,,,,,,124,354,,124,370,,124,511,
,,,,,,125,358,,125,374,,125,515,
,,,,,,126,362,,126,378,,126,519,
,,,,,,127,366,,127,382,,127,523,
,,,,,,128,370,,128,386,,128,527,
,,,,,,129,374,,129,390,,129,531,
,,,,,,130,378,,130,394,,130,535,
,,,,,,131,382,,131,398,,131,539,
,,,,,,132,386,,132,402,,132,543,
,,,,,,133,390,,133,406,,133,547,
,,,,,,134,394,,134,410,,134,551,
,,,,,,135,398,,135,414,,135,555,
,,,,,,136,403,,136,419,,136,560,
,,,,,,137,408,,137,424,,137,565,
,,,,,,138,413,,138,429,,138,570,
,,,,,,139,418,,139,434,,139,575,
,,,,,,140,423,,140,439,,140,580,
,,,,,,141,428,,141,444,,141,585,
,,,,,,142,433,,142,449,,142,590,
,,,,,,143,438,,143,454,,143,595,
,,,,,,144,443,,144,459,,144,600,
,,,,,,145,448,,145,464,,145,605,
,,,,,,146,453,,146,469,,146,610,
,,,,,,147,458,,147,474,,147,615,
,,,,,,148,463,,148,479,,148,620,
,,,,,,149,468,,149,484,,149,625,
,,,,,,150,473,,150,489,,150,630,
,,,,,,151,478,,151,494,,151,635,
,,,,,,152,483,,152,499,,152,640,
,,,,,,153,488,,153,504,,153,645,
,,,,,,154,493,,154,509,,154,650,
,,,,,,155,498,,155,514,,155,655,
,,,,,,156,498,,156,514,,156,655,
,,,,,,157,498,,157,514,,157,655,
,,,,,,158,498,,158,514,,158,655,
,,,,,,159,498,,159,514,,159,655,
,,,,,,160,498,,160,514,,160,655,
,,,,,,161,498,,161,514,,161,655,
,,,,,,162,498,,162,514,,162,655,
,,,,,,163,498,,163,514,,163,655,
,,,,,,164,498,,164,514,,164,655,
,,,,,,165,498,,165,514,,165,655,
,,,,,,166,498,,166,514,,166,655,
,,,,,,167,498,,167,514,,167,655,
,,,,,,168,498,,168,514,,168,655,
,,,,,,169,498,,169,514,,169,655,
,,,,,,170,498,,170,514,,170,655,
,,,,,,171,498,,171,514,,171,655,
,,,,,,172,498,,172,514,,172,655,
,,,,,,173,498,,173,514,,173,655,
,,,,,,174,498,,174,514,,174,655,
,,,,,,175,498,,175,514,,175,655,
,,,,,,176,498,,176,514,,176,655,
,,,,,,177,498,,177,514,,177,655,
,,,,,,178,498,,178,514,,178,655,
,,,,,,179,498,,179,514,,179,655,
,,,,,,180,498,,180,514,,180,655,
,,,,,,181,498,,181,514,,181,655,
,,,,,,182,498,,182,514,,182,655,
,,,,,,183,498,,183,514,,183,655,
,,,,,,184,498,,184,514,,184,655,
,,,,,,185,498,,185,514,,185,655,
,,,,,,186,498,,186,514,,186,655,
,,,,,,187,498,,187,514,,187,655,
,,,,,,188,498,,188,514,,188,655,
,,,,,,189,498,,189,514,,189,655,
,,,,,,190,498,,190,514,,190,655,
,,,,,,191,498,,191,514,,191,655,
,,,,,,192,498,,192,514,,192,655,
,,,,,,193,498,,193,514,,193,655,
,,,,,,194,498,,194,514,,194,655,
,,,,,,195,498,,195,514,,195,655,
,,,,,,196,498,,196,514,,196,655,
,,,,,,197,498,,197,514,,197,655,
,,,,,,198,498,,198,514,,198,655,
,,,,,,199,498,,199,514,,199,655,
,,,,,,200,498,,200,514,,200,655,
