Unnamed: 0,Site$,Time,PA$,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1
,,,,,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0,,10-15,0,
Coin Farming (PS4 & XBOX Only),,,,Copy & Paste Like The Example,15-20,0,,15-20,0,
,,,,,20-25,0,,20-25,0,
"Completed via Webapp Login, No Bans, No Hacks",,,,Game: FIFA 22 Ultimate Team,25-30,0,,25-30,0,
,,,,Service Requested: ,30-35,0,,30-35,0,
500k,60.0,24,71.34363853,Platform (PC/PS4/PS5/XBOX/XBOX-X):,35-40,0,,35-40,0,
750k,90.0,24,107.0154578,PSN/Microsoft/Origin/Steam Login: ,40-45,0,,40-45,0,
1 Million,120.0,24,142.6872771,Password: ,45-50,0,,45-50,0,
1.5 Million,180.0,24,214.0309156,EA Backup Codes:,50-55,0,,50-55,0,
,,,,Email for Updates:,55-60,0,,55-60,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,60-65,0,,60-65,0,
,,,,Example,65-70,0,,65-70,0,
Division Rivals,,,,,70-75,0,,70-75,0,
,,,,Game: FIFA 22 Ultimate Team,75-80,0,,75-80,0,
Requires 85+ Rating & 100+ Chemistry & Meta Players,,,,Service Requested: Online Season Rank 10-5,80-85,0,,80-85,0,
,,,,Platform (PC/PS4/PS5/XBOX/XBOX-X):PS4,85-90,0,,85-90,0,
10-9,20.0,3,23.78121284,PSN/Microsoft/Origin/Steam Login:exampleLogin,90-95,0,,90-95,0,
9-8,20.0,3,23.78121284,Password: examplePass,95-100,0,,95-100,0,
8-7,20.0,3,23.78121284,"EA Backup Codes: X#X##X#, #X#X#X#",100-105,0,,100-105,0,
7-6,20.0,3,23.78121284,Email for Updates: example@example.com,105-110,0,,105-110,0,
6-5,30.0,4,35.67181926,,110-115,0,,110-115,0,
5-4,30.0,4,35.67181926,,115-120,0,,115-120,0,
4-3,35.0,4,41.61712247,,120-125,0,,120-125,0,
3-2,35.0,4,41.61712247,https://user.playerauctions.com/offerCreation/?offerid=174637393&type=powerleveling&actiontype=copy,125-130,0,,125-130,0,
2-1,40.0,4,47.56242568,,130-135,0,,130-135,0,
1- Elite Division,55.0,4,65.39833532,https://www.ownedcore.com/forums/mmo-trading-market/mog-buy-sell-trade/fifa-buy-sell-trade/961294-ogedge-com-fifa22-coin-farming-boosting-fut-champions-objectives-more.html,135-140,0,,135-140,0,
,,,,https://www.elitepvpers.com/forum/fifa-trading/4983647-ogedge-com-fifa22-coin-farming-boosting-fut-champions-objectives-more.html#post39032974,140-145,0,,140-145,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,https://www.sythe.org/threads/ogedge-com-fifa22-coin-farming-fut-champions-rivals-squad-battles-draft-clubs-more/,145-150,0,,145-150,0,
,,,,,150-155,0,,150-155,0,
FUT Champions,,,,,155-160,0,,155-160,0,
,,,,,160-165,0,,160-165,0,
Rank 0 ( 0-1 Wins),,,,,165-170,0,,165-170,0,
,,,,,175-180,0,,175-180,0,
Rank 10,10.0,,,,180-185,0,,180-185,0,
Rank 9,20.0,,,,185-190,0,,185-190,0,
Rank 8,35.0,,,,190-195,0,,190-195,0,
Rank 7,45.0,,,,195-200,0,,195-200,0,
Rank 6,55.0,,,,,,0.0,,,0.0
Rank 5 ,65.0,Same Weekend,77.28894174,,,,,,,
Rank 4,75.0,Same Weekend,89.17954816,,Current,1,,Current,1,
Rank 3,85.0,Same Weekend,101.0701546,Icon Swaps,Desired,60,,Desired,200,
Rank 2,100.0,Same Weekend,118.9060642,Online Rivals up to Division 1,Site,0,,Site,0,
Rank 1,135.0,Same Weekend,160.5231867,Season Objectives ,0.159,0,,0.159,0,
,,,,FUT Champions up to Elite 3,0.841,,,0.841,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Markup,200,,Markup,200,
,,,,,0.2,250,,0.2,250,
FUT Champion Play-Off Qualification,,,,,,,,,,
,,,,https://www.dbaboosting.com/fifa-21,,,,,,
Playoff Qualification for FUT Champions 5 Wins,30.0,10,35.67181926,,xxx,Price,,xxx,Price,
1500 Division Rivals Points for Fut Champions  (Must be Div 4 Rivals),60.0,12,71.34363853,,1,0,,1,0,
,,,,Icons Swaps changes every 2 months,2,,,2,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,coins ps4 only,3,,,3,,
,,,,,4,,,4,,
Squad Battles Boost,,,,,5,,,5,,
,,,,,6,,,6,,
World Class Per Game,1.5,1,1.783590963,,7,,,7,,
Legendary Per Game,3.0,1,3.567181926,,8,,,8,,
World Class Per 40 Games,70.0,48,83.23424495,,9,,,9,,
Legendary Per 40 Games,80.0,48,95.12485137,,10,,,10,,
,,,,,11,,,11,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,12,,,12,,
,,,,,13,,,13,,
Online Draft Boost,,,,,14,,,14,,
,,,,,15,,,15,,
300 FP Required Per Draft,,,,,16,,,16,,
,,,,,17,,,17,,
One Draft  Win,20.0,2,23.78121284,,18,,,18,,
Two Drafts Win,35.0,4,41.61712247,,19,,,19,,
,,,,,20,,,20,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,21,,,21,,
,,,,,22,,,22,,
FIFA Pro Clubs Games,,,,,23,,,23,,
,,,,,24,,,24,,
200 Games with your Pro Discounted by 15%,340.0,8,404.2806183,,25,,,25,,
100 Games with your Pro Discounted by 10%,180.0,4,214.0309156,,26,,,26,,
50 Games with your Pro,100.0,2,118.9060642,,27,,,27,,
,,,,,28,,,28,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,29,,,29,,
,,,,,30,,,30,,
Icon Swaps Series 3,,,,,31,,,31,,
,,,,,32,,,32,,
Icon Swap Full Pack,150.0,48,178.3590963,,33,,,33,,
,,,,,34,,,34,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,35,,,35,,
,,,,,36,,,36,,
Co-op Boosting,,,,,37,,,37,,
,,,,,38,,,38,,
Per Hour ,15.0,1,17.83590963,,39,,,39,,
,,,,,40,,,40,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,41,,,41,,
,,,,,42,,,42,,
Coaching,,,,,43,,,43,,
,,,,,44,,,44,,
Per Hour ,30.0,1,35.67181926,,45,,,45,,
,,,,,46,,,46,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,47,,,47,,
,,,,,48,,,48,,
Objectives,,,,,49,,,49,,
,,,,,50,,,50,,
Milestone Objectives ,45.0,8,53.50772889,,51,,,51,,
Player Objective,40.0,8,47.56242568,,52,,,52,,
,,,,,53,,,53,,
,,,,,54,,,54,,
,,,,,55,,,55,,
,,,,,56,,,56,,
,,,,,57,,,57,,
,,,,,58,,,58,,
,,,,,59,,,59,,
,,,,,60,,,60,,
,,,,,61,,,61,,
,,,,,62,,,62,,
,,,,,63,,,63,,
,,,,,64,,,64,,
,,,,,65,,,65,,
,,,,,66,,,66,,
,,,,,67,,,67,,
,,,,,68,,,68,,
,,,,,69,,,69,,
,,,,,70,,,70,,
,,,,,71,,,71,,
,,,,,72,,,72,,
,,,,,73,,,73,,
,,,,,74,,,74,,
,,,,,75,,,75,,
,,,,,76,,,76,,
,,,,,77,,,77,,
,,,,,78,,,78,,
,,,,,79,,,79,,
,,,,,80,,,80,,
,,,,,81,,,81,,
,,,,,82,,,82,,
,,,,,83,,,83,,
,,,,,84,,,84,,
,,,,,85,,,85,,
,,,,,86,,,86,,
,,,,,87,,,87,,
,,,,,88,,,88,,
,,,,,89,,,89,,
,,,,,90,,,90,,
,,,,,91,,,91,,
,,,,,92,,,92,,
,,,,,93,,,93,,
,,,,,94,,,94,,
,,,,,95,,,95,,
,,,,,96,,,96,,
,,,,,97,,,97,,
,,,,,98,,,98,,
,,,,,99,,,99,,
,,,,,100,,,100,,
,,,,,101,,,101,,
,,,,,102,,,102,,
,,,,,103,,,103,,
,,,,,104,,,104,,
,,,,,105,,,105,,
,,,,,106,,,106,,
,,,,,107,,,107,,
,,,,,108,,,108,,
,,,,,109,,,109,,
,,,,,110,,,110,,
,,,,,111,,,111,,
,,,,,112,,,112,,
,,,,,113,,,113,,
,,,,,114,,,114,,
,,,,,115,,,115,,
,,,,,116,,,116,,
,,,,,117,,,117,,
,,,,,118,,,118,,
,,,,,119,,,119,,
,,,,,120,,,120,,
,,,,,121,,,121,,
,,,,,122,,,122,,
,,,,,123,,,123,,
,,,,,124,,,124,,
,,,,,125,,,125,,
,,,,,126,,,126,,
,,,,,127,,,127,,
,,,,,128,,,128,,
,,,,,129,,,129,,
,,,,,130,,,130,,
,,,,,131,,,131,,
,,,,,132,,,132,,
,,,,,133,,,133,,
,,,,,134,,,134,,
,,,,,135,,,135,,
,,,,,136,,,136,,
,,,,,137,,,137,,
,,,,,138,,,138,,
,,,,,139,,,139,,
,,,,,140,,,140,,
,,,,,141,,,141,,
,,,,,142,,,142,,
,,,,,143,,,143,,
,,,,,144,,,144,,
,,,,,145,,,145,,
,,,,,146,,,146,,
,,,,,147,,,147,,
,,,,,148,,,148,,
,,,,,149,,,149,,
,,,,,150,,,150,,
,,,,,151,,,151,,
,,,,,152,,,152,,
,,,,,153,,,153,,
,,,,,154,,,154,,
,,,,,155,,,155,,
,,,,,156,,,156,,
,,,,,157,,,157,,
,,,,,158,,,158,,
,,,,,159,,,159,,
,,,,,160,,,160,,
,,,,,161,,,161,,
,,,,,162,,,162,,
,,,,,163,,,163,,
,,,,,164,,,164,,
,,,,,165,,,165,,
,,,,,166,,,166,,
,,,,,167,,,167,,
,,,,,168,,,168,,
,,,,,169,,,169,,
,,,,,170,,,170,,
,,,,,171,,,171,,
,,,,,172,,,172,,
,,,,,173,,,173,,
,,,,,174,,,174,,
,,,,,175,,,175,,
,,,,,176,,,176,,
,,,,,177,,,177,,
,,,,,178,,,178,,
,,,,,179,,,179,,
,,,,,180,,,180,,
,,,,,181,,,181,,
,,,,,182,,,182,,
,,,,,183,,,183,,
,,,,,184,,,184,,
,,,,,185,,,185,,
,,,,,186,,,186,,
,,,,,187,,,187,,
,,,,,188,,,188,,
,,,,,189,,,189,,
,,,,,190,,,190,,
,,,,,191,,,191,,
,,,,,192,,,192,,
,,,,,193,,,193,,
,,,,,194,,,194,,
,,,,,195,,,195,,
,,,,,196,,,196,,
,,,,,197,,,197,,
,,,,,198,,,198,,
,,,,,199,,,199,,
,,,,,200,0,,200,0,
