Unnamed: 0,Site$,Time,PA$,Game Name,Level,Per Level,Per Range,xxx,Per Level.1,Per Range.1,xxx.1,Per Level.2,Per Range.2
,,,,,01-05,0.48,1.92,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0.48,2.4,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0.48,2.4,10-15,0,,10-15,0,
EQ Live on Bristlebane / Erollisi Marr / Firona Vie,,,,Copy & Paste Like The Example,15-20,0.48,2.4,15-20,0,,15-20,0,
,,,,,20-25,0.48,2.4,20-25,0,,20-25,0,
Leveling: Bristlebane / Erollisi Marr / Firona Vie,,,,Game: EverQuest,25-30,0.48,2.4,25-30,0,,25-30,0,
,,,,Server: ,30-35,0.48,2.4,30-35,0,,30-35,0,
85-90,5.0,1,5.0,Service Requested:,35-40,0.48,2.4,35-40,0,,35-40,0,
90-95,5.0,1,5.0,Account Login: ,40-45,0.48,2.4,40-45,0,,40-45,0,
95-100,10.0,1,15.0,Account Password: ,45-50,0.48,2.4,45-50,0,,45-50,0,
100-105,15.0,1.5,20.0,Character Name: ,50-55,0.48,2.4,50-55,0,,50-55,0,
105-110,20.0,2,25.0,Email for Updates: ,55-60,0.48,2.4,55-60,0,,55-60,0,
110-115,50.0,7,60.0,,60-65,0.48,2.4,60-65,0,,60-65,0,
115-120,75.0,2,85.0,Example,65-70,0.48,2.4,65-70,0,,65-70,0,
120-125,75.0,6,85.0,,70-75,0.48,2.4,70-75,0,,70-75,0,
,,,,Game: EverQuest,75-80,0.48,2.4,75-80,0,,75-80,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,Server: Bristlebane,80-85,0.48,2.4,80-85,0,,80-85,0,
,,,,Service Requested: Leveling 85-110,85-90,1,5,85-90,0,,85-90,0,
Alternate Advancement: Bristlebane / Erollisi Marr / Firona Vie,,,,Account Login: exampleLogin,90-95,1,5,90-95,0,,90-95,0,
,,,,Account Password: examplePassword,95-100,2,10,95-100,0,,95-100,0,
"1,000",12.0,1,15.0,Character Name: Example Name,100-105,3,15,100-105,0,,100-105,0,
"10,000",120.0,12,145.0,Email for Updates: example@example.com,105-110,4,20,105-110,0,,105-110,0,
,,,,,110-115,10,50,110-115,0,,110-115,0,
Max AA Reference (L120),,,,,115-120,15,75,115-120,0,,115-120,0,
,,,,,120-125,15,75,120-125,0,,120-125,0,
Bard  52135,,,,https://user.playerauctions.com/offerCreation/?offerid=175595883&type=powerleveling&actiontype=copy,125-130,0,,125-130,0,,125-130,0,
Beastlord  67274,,,,,130-135,0,,130-135,0,,130-135,0,
Berserker  58082,,,,https://ectunnel.com/community/threads/%F0%9F%94%B4%E2%9C%85bristlebane-firona-vie-leveling-aa-achievements-raid-group-items-more-%F0%9F%94%B4%E2%9C%85.83444/,135-140,0,,135-140,0,,135-140,0,
Cleric  57590,,,,,140-145,0,,140-145,0,,140-145,0,
Druid  69582,,,,,145-150,0,,145-150,0,,145-150,0,
Enchanter  56705,,,,,150-155,0,,150-155,0,,150-155,0,
Magician  63875,,,,,155-160,0,,155-160,0,,155-160,0,
Monk  56732,,,,,160-165,0,,160-165,0,,160-165,0,
Necro  66006,,,,,165-170,0,,165-170,0,,165-170,0,
Paladin  65052,,,,,175-180,0,,175-180,0,,175-180,0,
Ranger  63837,,,,,180-185,0,,180-185,0,,180-185,0,
Rogue  55240,,,,,185-190,0,,185-190,0,,185-190,0,
Shadowknight  72588,,,,,190-195,0,,190-195,0,,190-195,0,
Shaman  74377,,,,,195-200,0,,195-200,0,,195-200,0,
Warrior  47012,,,,,,,295.32,,,0.0,,,0.0
Wizard  61893,,,,,,,,,,,,,
,,,,,Current,35,,Current,1,,Current,1,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Desired,50,,Desired,200,,Desired,200,
,,,,,Site,7.2,,Site,0,,Site,0,
Tradeskills 0-300 (Bristlebane & Erollisi Marr),,,,,0.159,9,,0.159,0,,0.159,0,
,,,,,0.841,,,0.841,,,0.841,,
Baking,30.0,2,35.0,,Markup,200,,Markup,200,,Markup,200,
Brewing,30.0,2,35.0,,0.2,250,,0.2,250,,0.2,250,
Fletching,30.0,2,35.0,,,,,,,,,,
Fishing,55.0,2,35.0,,,,,,,,,,
Jewelcraft,30.0,2,35.0,,Level,Price,,xxx,Price,,xxx,Price,
Pottery,30.0,2,35.0,,1,0,,1,0,,1,0,
Smithing,30.0,2,35.0,,2,0.48,,2,,,2,,
Tailoring,30.0,2,35.0,,3,0.96,,3,,,3,,
Alchemy (Shaman),30.0,2,35.0,,4,1.44,,4,,,4,,
Make Poison (Rogue),30.0,2,35.0,,5,1.92,,5,,,5,,
Spell Research (Casters),30.0,2,35.0,,6,2.4,,6,,,6,,
Tinkering (Gnomes),30.0,2,35.0,,7,2.88,,7,,,7,,
,,,,,8,3.36,,8,,,8,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,9,3.84,,9,,,9,,
,,,,,10,4.32,,10,,,10,,
Achievements (Bristlebane & Erollisi Marr),,,,,11,4.8,,11,,,11,,
,,,,,12,5.28,,12,,,12,,
,,,,,13,5.76,,13,,,13,,
,,,,,14,6.24,,14,,,14,,
,,,,,15,6.72,,15,,,15,,
,,,,,16,7.2,,16,,,16,,
,,,,,17,7.68,,17,,,17,,
,,,,,18,8.16,,18,,,18,,
,,,,,19,8.64,,19,,,19,,
,,,,,20,9.12,,20,,,20,,
,,,,,21,9.6,,21,,,21,,
,,,,,22,10.08,,22,,,22,,
,,,,,23,10.56,,23,,,23,,
,,,,,24,11.04,,24,,,24,,
,,,,,25,11.52,,25,,,25,,
,,,,,26,12,,26,,,26,,
,,,,,27,12.48,,27,,,27,,
,,,,,28,12.96,,28,,,28,,
,,,,,29,13.44,,29,,,29,,
,,,,,30,13.92,,30,,,30,,
,,,,,31,14.4,,31,,,31,,
Champion of Laurion's Song - Radiant Hawk Harness,200.0,6,,,32,14.88,,32,,,32,,
Challenger of Laurion's Song - Flagged to progress the Evolving Neck,80.0,2,,,33,15.36,,33,,,33,,
Paragon of Laurion's Song - Stripped Badger Whistle,40.0,5,,,34,15.84,,34,,,34,,
,,,,,35,16.32,,35,,,35,,
Champion of Night of Shadow - Night's Avenger - Eye-Spotted Shik`Nar Saddle,300.0,5,355.0,,36,16.8,,36,,,36,,
Challenger of Night of Shadow - Mission Achievements for Lucent Cloak of the Selenelion,100.0,2,125.0,,37,17.28,,37,,,37,,
Paragon of Night of Shadow - Fungal Underbulk,50.0,1.00 Days,60.0,,38,17.76,,38,,,38,,
,,,,,39,18.24,,39,,,39,,
Terror of Luclin - Defender of Blood - Golden Owlbear Saddle,350.0,7,420.0,,40,18.72,,40,,,40,,
Claws of Veeshan - The Frozen One - Winter Jacalope Saddle,295.0,5,350.0,,41,19.2,,41,,,41,,
Torment of Velious - Icebreaker- Snow Griffon Saddle,295.0,6,350.0,,42,19.68,,42,,,42,,
The Burning Lands - Burninator - Efreeti Flying Carpet,270.0,4,320.0,,43,20.16,,43,,,43,,
Paragon of The Burning Lands - Jann's Veil,90.0,2,110.0,,44,20.64,,44,,,44,,
Paragon of Torment of Velious - Luminescent Restless Ice,50.0,1,60.0,,45,21.12,,45,,,45,,
Trials of Smoke x5 - Flags For Plane of Smoke,60.0,4,70.0,,46,21.6,,46,,,46,,
,,,,,47,22.08,,47,,,47,,
,,,,,48,22.56,,48,,,48,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,49,23.04,,49,,,49,,
,,,,,50,23.52,,50,,,50,,
Night of Shadows Raid (Erollisi Marr),,,,,51,24,,51,,,51,,
,,,,,52,24.48,,52,,,52,,
NoS Apparitional Piece,100.0,1-2 Weeks,120.0,,53,24.96,,53,,,53,,
Full NoS Apparitional Set,2000.0,1-2 Weeks,2375.0,,54,25.44,,54,,,54,,
,,,,,55,25.92,,55,,,55,,
Raid Chest,300.0,1 Week,355.0,,56,26.4,,56,,,56,,
"1-6 Random Apparitional Items, 2 Visible Items, 2-4 Non Visible Items/weapons, 1-12 Rank 3 Spells, 2-4 Ornaments, Chance for 46 Slot Crate",,,,,57,26.88,,57,,,57,,
,,,,,58,27.36,,58,,,58,,
,,,,,59,27.84,,59,,,59,,
,,,,,60,28.32,,60,,,60,,
,,,,,61,28.8,,61,,,61,,
,,,,,62,29.28,,62,,,62,,
,,,,,63,29.76,,63,,,63,,
,,,,,64,30.24,,64,,,64,,
,,,,,65,30.72,,65,,,65,,
,,,,,66,31.2,,66,,,66,,
,,,,,67,31.68,,67,,,67,,
,,,,,68,32.16,,68,,,68,,
,,,,,69,32.64,,69,,,69,,
,,,,,70,33.12,,70,,,70,,
,,,,,71,33.6,,71,,,71,,
,,,,,72,34.08,,72,,,72,,
,,,,,73,34.56,,73,,,73,,
,,,,,74,35.04,,74,,,74,,
,,,,,75,35.52,,75,,,75,,
,,,,,76,36,,76,,,76,,
,,,,,77,36.48,,77,,,77,,
,,,,,78,36.96,,78,,,78,,
,,,,,79,37.44,,79,,,79,,
,,,,,80,37.92,,80,,,80,,
Paragon of Claws Veeshan - Ice Bound Ulthork ,50.0,1,60.0,,81,38.4,,81,,,81,,
Paragon of The Ring of Scale - Emperor Ganak Familiar,60.0,2,70.0,,82,38.88,,82,,,82,,
,,,,,83,39.36,,83,,,83,,
,,,,,84,39.84,,84,,,84,,
,,,,,85,40.32,,85,,,85,,
,,,,,86,41.32,,86,,,86,,
,,,,,87,42.32,,87,,,87,,
,,,,,88,43.32,,88,,,88,,
,,,,,89,44.32,,89,,,89,,
,,,,,90,45.32,,90,,,90,,
,,,,,91,46.32,,91,,,91,,
,,,,,92,47.32,,92,,,92,,
,,,,,93,48.32,,93,,,93,,
,,,,,94,49.32,,94,,,94,,
,,,,,95,50.32,,95,,,95,,
,,,,,96,52.32,,96,,,96,,
Items & Augs (Bristlebane & Erollisi Marr),,,,,97,54.32,,97,,,97,,
,,,,,98,56.32,,98,,,98,,
Terror of Luclin Raid (Calcified Bloodied Ore),110.0,Thursday & Friday,130.0,,99,58.32,,99,,,99,,
Claws of Veeshan Raid (Diamondized Restless Ore),50.0,Thursday & Friday,60.0,,100,60.32,,100,,,100,,
,,,,,101,63.32,,101,,,101,,
Terror of Luclin Tier 3 Per Item,20.0,0.5,25.0,,102,66.32,,102,,,102,,
Claws of Veeshan Tier 3 Per Item,20.0,0.5,25.0,,103,69.32,,103,,,103,,
,,,,,104,72.32,,104,,,104,,
Terror of Luclin Type 5 Per Augmentation,40.0,1.5,50.0,,105,75.32,,105,,,105,,
Claws of Veeshan Type 5 Per Augmentation,40.0,1.5,50.0,,106,79.32,,106,,,106,,
,,,,,107,83.32,,107,,,107,,
Epic 1.5 pre Quest,60.0,1,70.0,,108,87.32,,108,,,108,,
Epic 1.5,120.0,2,145.0,,109,91.32,,109,,,109,,
Epic 2.0,150.0,2,180.0,,110,95.32,,110,,,110,,
Epic 2.0 + Epic 1.5 + Pre Quest,330.0,5,395.0,,111,105.32,,111,,,111,,
,,,,,112,115.32,,112,,,112,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,113,125.32,,113,,,113,,
,,,,,114,135.32,,114,,,114,,
,,,,,115,145.32,,115,,,115,,
,,,,,116,160.32,,116,,,116,,
,,,,,117,175.32,,117,,,117,,
,,,,,118,190.32,,118,,,118,,
,,,,,119,205.32,,119,,,119,,
,,,,,120,220.32,,120,,,120,,
,,,,,121,235.32,,121,,,121,,
,,,,,122,250.32,,122,,,122,,
,,,,,123,265.32,,123,,,123,,
,,,,,124,280.32,,124,,,124,,
,,,,,125,295.32,xxx,125,,,125,,
,,,,,126,295.32,,126,,,126,,
,,,,,127,295.32,,127,,,127,,
,,,,,128,295.32,,128,,,128,,
,,,,,129,295.32,,129,,,129,,
,,,,,130,295.32,,130,,,130,,
,,,,,131,295.32,,131,,,131,,
,,,,,132,295.32,,132,,,132,,
,,,,,133,295.32,,133,,,133,,
,,,,,134,295.32,,134,,,134,,
,,,,,135,295.32,,135,,,135,,
,,,,,136,295.32,,136,,,136,,
,,,,,137,295.32,,137,,,137,,
,,,,,138,295.32,,138,,,138,,
,,,,,139,295.32,,139,,,139,,
,,,,,140,295.32,,140,,,140,,
,,,,,141,295.32,,141,,,141,,
,,,,,142,295.32,,142,,,142,,
,,,,,143,295.32,,143,,,143,,
,,,,,144,295.32,,144,,,144,,
,,,,,145,295.32,,145,,,145,,
,,,,,146,295.32,,146,,,146,,
,,,,,147,295.32,,147,,,147,,
,,,,,148,295.32,,148,,,148,,
,,,,,149,295.32,,149,,,149,,
,,,,,150,295.32,,150,,,150,,
,,,,,151,295.32,,151,,,151,,
,,,,,152,295.32,,152,,,152,,
,,,,,153,295.32,,153,,,153,,
,,,,,154,295.32,,154,,,154,,
,,,,,155,295.32,,155,,,155,,
,,,,,156,295.32,,156,,,156,,
,,,,,157,295.32,,157,,,157,,
,,,,,158,295.32,,158,,,158,,
,,,,,159,295.32,,159,,,159,,
,,,,,160,295.32,,160,,,160,,
,,,,,161,295.32,,161,,,161,,
,,,,,162,295.32,,162,,,162,,
,,,,,163,295.32,,163,,,163,,
,,,,,164,295.32,,164,,,164,,
,,,,,165,295.32,,165,,,165,,
,,,,,166,295.32,,166,,,166,,
,,,,,167,295.32,,167,,,167,,
,,,,,168,295.32,,168,,,168,,
,,,,,169,295.32,,169,,,169,,
,,,,,170,295.32,,170,,,170,,
,,,,,171,295.32,,171,,,171,,
,,,,,172,295.32,,172,,,172,,
,,,,,173,295.32,,173,,,173,,
,,,,,174,295.32,,174,,,174,,
,,,,,175,295.32,,175,,,175,,
,,,,,176,295.32,,176,,,176,,
,,,,,177,295.32,,177,,,177,,
,,,,,178,295.32,,178,,,178,,
,,,,,179,295.32,,179,,,179,,
,,,,,180,295.32,,180,,,180,,
,,,,,181,295.32,,181,,,181,,
,,,,,182,295.32,,182,,,182,,
,,,,,183,295.32,,183,,,183,,
,,,,,184,295.32,,184,,,184,,
,,,,,185,295.32,,185,,,185,,
,,,,,186,295.32,,186,,,186,,
,,,,,187,295.32,,187,,,187,,
,,,,,188,295.32,,188,,,188,,
,,,,,189,295.32,,189,,,189,,
,,,,,190,295.32,,190,,,190,,
,,,,,191,295.32,,191,,,191,,
,,,,,192,295.32,,192,,,192,,
,,,,,193,295.32,,193,,,193,,
,,,,,194,295.32,,194,,,194,,
,,,,,195,295.32,,195,,,195,,
,,,,,196,295.32,,196,,,196,,
,,,,,197,295.32,,197,,,197,,
,,,,,198,295.32,,198,,,198,,
,,,,,199,295.32,,199,0,,199,0,
,,,,,200,295.32,,200,0,,200,0,
