Unnamed: 0,Site$,Time,Required,PA$,Game Name,Primary,Per Level,Per Range,Secondary,Per Level.1,Per Range.1,xxx,Per Level.2,Per Range.2
,,,,,,01-05,0.5,2.0,01-05,0.25,1.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0.5,2.5,05-10,0.25,1.25,05-10,0,0.0
,,,,,,10-15,0.5,2.5,10-15,0.25,1.25,10-15,0,
Primary Job Leveling,,,,,Copy & Paste Like The Example,15-20,0.5,2.5,15-20,0.25,1.25,15-20,0,
,,,,,,20-25,0.5,2.5,20-25,0.25,1.25,20-25,0,
"Completed: MSQ, Job Quests, & Aether",,,,,Game: Final Fantasy XIV PC,25-30,0.5,2.5,25-30,0.25,1.25,25-30,0,
"Unlocked: Hunts, Teleports, Golden Saucer, PVP",,,,,Service Requested:,30-35,0.5,2.5,30-35,0.25,1.25,30-35,0,
Disciples of War and Magic,,,,,Account Login:,35-40,0.5,2.5,35-40,0.25,1.25,35-40,0,
,,,,,Account Password:,40-45,1,5.0,40-45,0.5,2.5,40-45,0,
80-90,20.0,2,Required: PC License & Endwalker,23.78121284,Region (NA/EU/JP):,45-50,1,5.0,45-50,0.5,2.5,45-50,0,
70-80,20.0,2,Required: PC License & Shadowbringers,23.78121284,Server:,50-55,1,5.0,50-55,0.5,2.5,50-55,0,
60-70,20.0,2,Required: PC License & Stormblood,23.78121284,Job:,55-60,1,5.0,55-60,0.5,2.5,55-60,0,
,,,,,Character Name:,60-65,2,10.0,60-65,1,5.0,60-65,0,
01-90,99.5,11.5,Required: PC License & Endwalker,118.3115339,Email for Updates:,65-70,2,10.0,65-70,1,5.0,65-70,0,
01-80,79.5,9.5,Required: PC License & Shadowbringers,94.53032105,,70-75,2,10.0,70-75,1,5.0,70-75,0,
01-70,59.5,7.5,Required: PC License & Stormblood,70.7491082,Example,75-80,2,10.0,75-80,1,5.0,75-80,0,
01-60,39.5,5.5,Required: PC License & Heavensward,46.96789536,,80-85,2,10.0,80-85,1,5.0,80-85,0,
,,,,,Game: Final Fantasy XIV PC,85-90,2,10.0,85-90,1,5.0,85-90,0,
01-05,2.0,0.125,Required: PC License,2.378121284,Service Requested: Main Leveling 1-70,90-95,4,20.0,90-95,2,10.0,90-95,0,
05-10,2.5,0.125,Required: PC License,2.972651605,Account Login: exampleLogin,95-100,4,20.0,95-100,2,10.0,95-100,0,
10-15,2.5,0.125,Required: PC License,2.972651605,Account Password: examplePassword,100-105,0,,100-105,0,,100-105,0,
15-20,2.5,0.125,Required: PC License,2.972651605,Region (NA/EU/JP): NA,105-110,0,,105-110,0,,105-110,0,
20-25,2.5,0.25,Required: PC License,2.972651605,Server: Excalibur,110-115,0,,110-115,0,,110-115,0,
25-30,2.5,0.25,Required: PC License,2.972651605,Job: Red Mage,115-120,0,,115-120,0,,115-120,0,
30-35,2.5,0.25,Required: PC License,2.972651605,Character Name: Example Name,120-125,0,,120-125,0,,120-125,0,
35-40,2.5,0.25,Required: PC License,2.972651605,Email for Updates: example@example.com,125-130,0,,125-130,0,,125-130,0,
40-45,5.0,1,Required: PC License,5.94530321,,130-135,0,,130-135,0,,130-135,0,
45-50,5.0,1,Required: PC License,5.94530321,,135-140,0,,135-140,0,,135-140,0,
50-55,5.0,1,Required: PC License & Heavensward,5.94530321,,140-145,0,,140-145,0,,140-145,0,
55-60,5.0,1,Required: PC License & Heavensward,5.94530321,,145-150,0,,145-150,0,,145-150,0,
60-65,10.0,1,Required: PC License & Stormblood,11.89060642,,150-155,0,,150-155,0,,150-155,0,
65-70,10.0,1,Required: PC License & Stormblood,11.89060642,,155-160,0,,155-160,0,,155-160,0,
70-75,10.0,1,Required: PC License & Shadowbringers,11.89060642,,160-165,0,,160-165,0,,160-165,0,
75-80,10.0,1,Required: PC License & Shadowbringers,11.89060642,,165-170,0,,165-170,0,,165-170,0,
80-85,10.0,1,Required: PC License & Endwalker,11.89060642,,175-180,0,,175-180,0,,175-180,0,
85-90,10.0,1,Required: PC License & Endwalker,11.89060642,,180-185,0,,180-185,0,,180-185,0,
90-95,20.0,1,Required: PC License & Dawntrail,23.78121284,,185-190,0,,185-190,0,,185-190,0,
95-100,20.0,1,Required: PC License & Dawntrail,23.78121284,,190-195,0,,190-195,0,,190-195,0,
,,,,,,195-200,0,,195-200,0,,195-200,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,139.5,,,69.75,,,0.0
Secondary Job Leveling,,,,,,Current,80,,Current,13,,Current,1,
,,,,,https://user.playerauctions.com/offerCreation/?offerid=178474128&type=powerleveling&actiontype=copy,Desired,90,,Desired,90,,Desired,200,
Completed: Job Quests,,,,,,Site,20,,Site,46.75,,Site,0,
"Disciples of War, Magic, Hand, & Land",,,,,https://www.epicnpc.com/threads/leveling-1-80-msq-aether-tomes-seals-mounts.611405/,0.159,24,,0.159,56,,0.159,0,
Hand requires Gil for materials,,,,,https://www.ownedcore.com/forums/showthread.php?t=961293&p=4346879#post4346879,0.841,,,0.841,,,0.841,,
,,,,,https://www.elitepvpers.com/forum/final-fantasy-trading/3871604-ogedge-com-ff14-arr-us-eu-character-leveling-1-60-a.html,Markup,500,,Markup,200,,Markup,200,
80-90,10.0,1,Required: PC License & Level 90 Primary Job,11.89060642,https://www.sythe.org/threads/ogedge-com-ffxiv-pc-us-eu-jp-leveling-1-80-tomes-seals-mounts-more/#post-14917494,0.159,594.530321,,0.2,250,,0.2,250,
70-80,10.0,1,Required: PC License & Level 80 Primary Job,11.89060642,,,,,,,,,,
60-70,10.0,1,Required: PC License & Level 70 Primary Job,11.89060642,,,,,,,,,,
,,,,,,Primary,Price,,Secondary,Price,,xxx,Price,
01-90,49.75,4.25,Required: PC License & Level 90 Primary Job,59.15576694,,1,0,,1,0,,1,0,
01-80,39.75,4.75,Required: PC License & Level 80 Primary Job,47.26516052,,2,0.5,,2,0.25,,2,,
01-70,29.75,3.75,Required: PC License & Level 70 Primary Job,35.3745541,,3,1,,3,0.5,,3,,
01-60,19.75,2.75,Required: PC License & Level 60 Primary Job,23.48394768,,4,1.5,,4,0.75,,4,,
,,,,,,5,2,,5,1,,5,,
01-05,1.0,0.0625,Required: PC License,1.189060642,,6,2.5,,6,1.25,,6,,
05-10,1.25,0.0625,Required: PC License,1.486325803,,7,3,,7,1.5,,7,,
10-15,1.25,0.0625,Required: PC License,1.486325803,,8,3.5,,8,1.75,,8,,
15-20,1.25,0.0625,Required: PC License,1.486325803,,9,4,,9,2,,9,,
20-25,1.25,0.125,Required: PC License,1.486325803,,10,4.5,,10,2.25,,10,,
25-30,1.25,0.125,Required: PC License,1.486325803,,11,5,,11,2.5,,11,,
30-35,1.25,0.125,Required: PC License,1.486325803,,12,5.5,,12,2.75,,12,,
35-40,1.25,0.125,Required: PC License,1.486325803,,13,6,,13,3,,13,,
40-45,2.5,0.5,Required: PC License,2.972651605,,14,6.5,,14,3.25,,14,,
45-50,2.5,0.5,Required: PC License,2.972651605,,15,7,,15,3.5,,15,,
50-55,2.5,0.5,Required: PC License & Heavensward,2.972651605,,16,7.5,,16,3.75,,16,,
55-60,2.5,0.5,Required: PC License & Heavensward,2.972651605,,17,8,,17,4,,17,,
60-65,5.0,0.5,Required: PC License & Stormblood,5.94530321,,18,8.5,,18,4.25,,18,,
65-70,5.0,0.5,Required: PC License & Stormblood,5.94530321,,19,9,,19,4.5,,19,,
70-75,5.0,0.5,Required: PC License & Shadowbringers,5.94530321,,20,9.5,,20,4.75,,20,,
75-80,5.0,0.5,Required: PC License & Shadowbringers,5.94530321,,21,10,,21,5,,21,,
80-85,5.0,0.5,Required: PC License & Endwalker,5.94530321,,22,10.5,,22,5.25,,22,,
85-90,5.0,0.5,Required: PC License & Endwalker,5.94530321,,23,11,,23,5.5,,23,,
90-95,10.0,0.5,Required: PC License & Dawntrail,11.89060642,,24,11.5,,24,5.75,,24,,
95-100,10.0,0.5,Required: PC License & Dawntrail,11.89060642,,25,12,,25,6,,25,,
,,,,,,26,12.5,,26,6.25,,26,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,27,13,,27,6.5,,27,,
Questing & Misc,,,,,,28,13.5,,28,6.75,,28,,
,,,,,,29,14,,29,7,,29,,
Heavensward MSQ,10.0,1,Required: Level 60,11.89060642,,30,14.5,,30,7.25,,30,,
Dragonsong MSQ,10.0,1,Required: Level 60 & Heavensward MSQ,11.89060642,,31,15,,31,7.5,,31,,
Stormblood MSQ,10.0,1,Required: Level 70 & Dragonsong MSQ,11.89060642,,32,15.5,,32,7.75,,32,,
4.1 The Legend Returns MSQ,10.0,1,Required: Level 70 & Stormblood MSQ,11.89060642,,33,16,,33,8,,33,,
4.2 Rise of a New Sun MSQ,10.0,1,Required: 4.1 The Legend Returns MSQ,11.89060642,,34,16.5,,34,8.25,,34,,
4.3 Under the Moonlight MSQ,10.0,1,Required: 4.2 Rise of a New Sun MSQ,11.89060642,,35,17,,35,8.5,,35,,
4.4 Prelude in Violet MSQ,10.0,1,Required: 4.3 Under the Moonlight MSQ,11.89060642,,36,17.5,,36,8.75,,36,,
4.5 A Requiem for Heroes MSQ,10.0,1,"Required: Level 70, 4.4 Prelude in Violet MSQ",11.89060642,,37,18,,37,9,,37,,
Hildibrand Side Story,20.0,2,Required: Level 70,23.78121284,,38,18.5,,38,9.25,,38,,
Shadowbringers MSQ,15.0,1,Required: Level 80,17.83590963,,39,19,,39,9.5,,39,,
5.1 The Legend Returns MSQ,10.0,1,Required: Level 80 & Shadowbringers MSQ,11.89060642,,40,19.5,,40,9.75,,40,,
5.2 Echoes of a Fallen Star MSQ,10.0,1,Required: 5.1 The Legend Returns MSQ,11.89060642,,41,20.5,,41,10.25,,41,,
5.3 Reflections in Crystal MSQ,10.0,1,Required: 5.2 Echoes of a Fallen Star MSQ,11.89060642,,42,21.5,,42,10.75,,42,,
5.4 Futures Rewritten MSQ,10.0,1,Required: 5.3 Reflections in Crystal MSQ,11.89060642,,43,22.5,,43,11.25,,43,,
5.5 Death Unto Dawn,10.0,1,5.4 Futures Rewritten MSQ,11.89060642,,44,23.5,,44,11.75,,44,,
6.1 Newfound Adventure,10.0,1,5.5 Death Unto Dawn,11.89060642,,45,24.5,,45,12.25,,45,,
6.2 Buried Memory,10.0,1,6.1 Newfound Adventure,11.89060642,,46,25.5,,46,12.75,,46,,
Heavensward Flying 50-60 Aether Currents,15.0,1,Required: Level 60,17.83590963,,47,26.5,,47,13.25,,47,,
Stormblood Flying 60-70 Aether Currents,15.0,1,Required: Level 70,17.83590963,,48,27.5,,48,13.75,,48,,
Stormbringer Flying 70-80 Aether Currents,15.0,1,Required: Level 80,17.83590963,,49,28.5,,49,14.25,,49,,
Dawntrail Flying 90-100 Aether Currents,25.0,1,,,,50,29.5,,50,14.75,,50,,
,,,,,,51,30.5,,51,15.25,,51,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,52,31.5,,52,15.75,,52,,
,,,,,,53,32.5,,53,16.25,,53,,
Tomestones,,,,,,54,33.5,,54,16.75,,54,,
,,,,,,55,34.5,,55,17.25,,55,,
"2,000 Tomestone of Poetics",20.0,1.5,Required: iLvl 550,23.78121284,,56,35.5,,56,17.75,,56,,
50 Tomestone of Law,25.0,1,Required: Level 50+,29.72651605,,57,36.5,,57,18.25,,57,,
50 Tomestone of Esoterics,25.0,1,Required: Level 50+,29.72651605,,58,37.5,,58,18.75,,58,,
50 Tomestone of Pageantry,30.0,1,Required: Level 50+,35.67181926,,59,38.5,,59,19.25,,59,,
"2,000 Tomestone of Aesthetics",30.0,2,Required: Level 100,35.67181926,,60,39.5,,60,19.75,,60,,
,,,,,,61,41.5,,61,20.75,,61,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,62,43.5,,62,21.75,,62,,
,,,,,,63,45.5,,63,22.75,,63,,
Seals,,,,,,64,47.5,,64,23.75,,64,,
,,,,,,65,49.5,,65,24.75,,65,,
Allied Seals 1k,15.0,1,"Required: L60, iLvl 270, Quest Let the Hunt Begin",17.83590963,,66,51.5,,66,25.75,,66,,
Centurio Seals 1k,15.0,1,"Required: L60 iLvl 270 or L70, Let the Clant Hunt Begin, Heavensward areas & aethers",17.83590963,,67,53.5,,67,26.75,,67,,
Grand Company Seals 20k,20.0,1,Required: L60+,23.78121284,,68,55.5,,68,27.75,,68,,
Sack of Nuts 1k ,15.0,1,Required: L80+,17.83590963,,69,57.5,,69,28.75,,69,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,70,59.5,,70,29.75,,70,,
,,,,,,71,61.5,,71,30.75,,71,,
Manderville Gold Saucer Points,,,,,,72,63.5,,72,31.75,,72,,
,,,,,,73,65.5,,73,32.75,,73,,
250000,2.5,1,Required: Level 15+,2.972651605,,74,67.5,,74,33.75,,74,,
500000,5.0,2,Required: Level 15+,5.94530321,,75,69.5,,75,34.75,,75,,
1000000,10.0,4,Required: Level 15+,11.89060642,,76,71.5,,76,35.75,,76,,
,,,,,,77,73.5,,77,36.75,,77,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,78,75.5,,78,37.75,,78,,
,,,,,,79,77.5,,79,38.75,,79,,
Wolf Marks (PVP),,,,,,80,79.5,,80,39.75,,80,,
,,,,,,81,81.5,,81,40.75,,81,,
"10,000 Wolf Marks",15.0,1,Required: Level 30+,17.83590963,,82,83.5,,82,41.75,,82,,
"20,000 Wolf Marks",30.0,2,Required: Level 30+,35.67181926,,83,85.5,,83,42.75,,83,,
,,,,,,84,87.5,,84,43.75,,84,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,85,89.5,,85,44.75,,85,,
,,,,,,86,91.5,,86,45.75,,86,,
Mounts,,,,,,87,93.5,,87,46.75,,87,,
,,,,,,88,95.5,,88,47.75,,88,,
Battle Bear (300 Runs),100.0,7,Required: Unlock Warrior (WAR) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,89,97.5,,89,48.75,,89,,
Battle Lion (300 Runs),100.0,7,Required: Unlock Paladin (PLD) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,90,99.5,,90,49.75,,90,,
Battle Panther (300 Runs),100.0,7,Required: Unlock Dark Knight (DRK) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,91,103.5,,91,51.75,,91,,
Battle Tiger (300 Runs),100.0,7,Required: Unlock Gunbreaker (GNB) & any L61+ Dungeon or trial extreme in Stormblood,118.9060642,,92,107.5,,92,53.75,,92,,
War Tiger (200 Runs),70.0,5,Required: Unlock Gunbreaker (GNB) & any L61+ Dungeon or trial extreme in Stormblood,83.23424495,,93,111.5,,93,55.75,,93,,
War Bear (200 Runs),60.0,2.5,Required: Unlock Warrior (WAR),71.34363853,,94,115.5,,94,57.75,,94,,
War Lion (200 Runs),60.0,2.5,Required: Unlock Paladin (PLD),71.34363853,,95,119.5,,95,59.75,,95,,
War Panther (200 Runs),60.0,2.5,Required: Unlock Dark Knight (DRK),71.34363853,,96,123.5,,96,61.75,,96,,
,,,,,,97,127.5,,97,63.75,,97,,
Kirin,60.0,4,"Required: iLvl 130, Unlock all Trial Extremes in ARR except Moogle",71.34363853,,98,131.5,,98,65.75,,98,,
Kirin (Aithon),10.0,1,"Required: iLvl 130, Unlock The Bowl of Embers (Extreme)",11.89060642,,99,135.5,,99,67.75,,99,,
Kirin (Xanthos),10.0,1,"Required: iLvl 130, Unlock The Howling Eye (Extreme)",11.89060642,,100,139.5,,100,69.75,,100,,
Kirin (Gullfaxi),10.0,1,"Required: iLvl 130, Unlock The Navel (Extreme)",11.89060642,,101,139.5,,101,69.75,,101,,
Kirin (Enbarr),10.0,1,"Required: iLvl 130, Unlock The Whorleater (Extreme)",11.89060642,,102,139.5,,102,69.75,,102,,
Kirin (Markab),10.0,1,"Required: iLvl 130, Unlock The Striking Tree (Extreme)",11.89060642,,103,139.5,,103,69.75,,103,,
Kirin (Boreas),10.0,1,"Required: iLvl 130, Unlock Akh Afah Amphitheatre (Extreme)",11.89060642,,104,139.5,,104,69.75,,104,,
,,,,,,105,139.5,,105,69.75,,105,,
Firebird,70.0,5,"Required: iLvl 270, Unlock all Trial Extremes in Heavensward",83.23424495,,106,139.5,,106,69.75,,106,,
Firebird (Dark Lanner),10.0,1,"Required: iLvl 270, Unlock The Minstrel's Ballad: Nidhogg's Rage",11.89060642,,107,139.5,,107,69.75,,107,,
Firebird (Rose Lanner),10.0,1,"Required: iLvl 270, Unlock Thok ast Thok (Extreme)",11.89060642,,108,139.5,,108,69.75,,108,,
Firebird (Round Lanner),10.0,1,"Required: iLvl 270, Unlock The Minstrel's Ballad: Thordan's Reign",11.89060642,,109,139.5,,109,69.75,,109,,
Firebird (Sophic Lanner),10.0,1,"Required: iLvl 270, Unlock Containment Bay P1T6 (Extreme)",11.89060642,,110,139.5,,110,69.75,,110,,
Firebird (White Lanner),10.0,1,"Required: iLvl 270, Unlock The Limitless Blue (Extreme)",11.89060642,,111,139.5,,111,69.75,,111,,
Firebird (Demonic Lanner),10.0,1,"Required: iLvl 270, Unlock Containment Bay Z1T9 (Extreme)",11.89060642,,112,139.5,,112,69.75,,112,,
Firebird (Warring Lanner),10.0,1,"Required: iLvl 270, Unlock Containment Bay S1T7 (Extreme)",11.89060642,,113,139.5,,113,69.75,,113,,
,,,,,,114,139.5,,114,69.75,,114,,
Ixion,100.0,8,"Required: Lv 70, iLvl 300, Unlock The Lochs area",118.9060642,,115,139.5,,115,69.75,,115,,
Rathalos (50 Runs),120.0,7,"Required: iLvl 370, Unlock The Great Hunt (Extreme) - (50 Runs)",142.6872771,,116,139.5,,116,69.75,,116,,
,,,,,,117,139.5,,117,69.75,,117,,
Fabled Kamuy Fife,119.0,7,Required: See Below,141.4982164,,118,139.5,,118,69.75,,118,,
Byakko,20.0,1,"Required: iLvl 340, Unlock The Jade Stoa (Extreme)",23.78121284,,119,139.5,,119,69.75,,119,,
Lakshmi,20.0,1,"Required: iLvl 300, Unlock Emanation (Extreme)",23.78121284,,120,139.5,,120,69.75,,120,,
Tsukuyomi,20.0,1,"Required: iLvl 350, Unlock The Minstrel's Ballad: Tsukuyomi's Pain",23.78121284,,121,139.5,,121,69.75,,121,,
Seiryu,20.0,1,"Required: iLvl 380, Unlock The Wreath of Snakes (Extreme)",23.78121284,,122,139.5,,122,69.75,,122,,
Shinryu,20.0,1,"Required: iLvl 320, Unlock The Minstrel's Ballad: Shinryu's Domain",23.78121284,,123,139.5,,123,69.75,,123,,
Susano,20.0,1,"Required: iLvl 300, Unlock The Pool of Tribute (Extreme)",23.78121284,,124,139.5,,124,69.75,,124,,
Suzaku,20.0,1,"Required: iLvl 370, Unlock Hells' Kier (Extreme)",23.78121284,,125,139.5,,125,69.75,,125,,
,,,,,,126,139.5,,126,69.75,,126,,
Tyrannosaur,120.0,3.5,Required: Unlock Eureka,142.6872771,,127,139.5,,127,69.75,,127,,
Logistics System,240.0,28,Required: Level 30+,285.3745541,,128,139.5,,128,69.75,,128,,
,,,,,,129,139.5,,129,69.75,,129,,
Diamond Gwiber,30.0,2,"Required: Unlock The Cloud Deck (Extreme) Trial, iLvl 510",35.67181926,,130,139.5,,130,69.75,,130,,
Emerald Gwiber,30.0,2,"Required: Unlock Castrum Marinum (Extreme) Trial, iLvl 500",35.67181926,,131,139.5,,131,69.75,,131,,
Gwiber Of Light,30.0,2,"Required: Unlock The Seat of Sacrifice (Extreme) Trial, iLvl 480",35.67181926,,132,139.5,,132,69.75,,132,,
Ruby Gwiber,30.0,2,"Required: Unlock Cinder Drift (Extreme) Trial, iLvl 470 ",35.67181926,,133,139.5,,133,69.75,,133,,
Shadow Gwiber,30.0,2,"Required: Unlock The Minstrel's Ballad: Hades' Elegy (Extreme) Trial, iLvl 450",35.67181926,,134,139.5,,134,69.75,,134,,
Innocent Gwiber,30.0,2,"Required: Unlock The Crown of The Immaculate (Extreme) Trial, iLvl 430",35.67181926,,135,139.5,,135,69.75,,135,,
Fae Gwiber,30.0,2,"Required: Unlock The Dancing Plague (Extreme) Trial, iLvl 430",35.67181926,,136,139.5,,136,69.75,,136,,
,,,,,,137,139.5,,137,69.75,,137,,
Zodiark: Lynx of Eternal Darkness,15.0,1,"Required: Unlock Zodiark's Fall(Extreme) Trial, iLvl 560",17.83590963,,138,139.5,,138,69.75,,138,,
Hydaelyn: Lynx of Divine Light,15.0,1,"Required: Unlock Hydaelyn's Call (Extreme) Trial, iLvl 560",17.83590963,,139,139.5,,139,69.75,,139,,
The Endsinger: Bluefeather Lynx ,20.0,1,"Required: Unlock Endsinger's Aria (Extreme) Trial, iLvl 580",23.78121284,,140,139.5,,140,69.75,,140,,
Barbariccia: Lynx of Imperious Wind,20.0,1,"Required: Unlock Storm's Crown (Extreme) Trial, iLvl 600",23.78121284,,141,139.5,,141,69.75,,141,,
Rubicante: Lynx of Righteous Fire Flute,60.0,2,"Required: Unlock Mount Ordeals (Extreme) Trial, iLvl 600",71.34363853,,142,139.5,,142,69.75,,142,,
Golbez: Lynx of Fallen Shadow,70.0,2,"Required: Unlock The Voidcast Dais (Extreme) Trial, iLvl 620",83.23424495,,143,139.5,,143,69.75,,143,,
Zeromus - Lynx of Abyssal Grief,90.0,2,"Required: Unlock The Abyssal Fracture (Extreme) Trial, iLvl 640",107.0154578,,144,139.5,,144,69.75,,144,,
,,,,,,145,139.5,,145,69.75,,145,,
Dragon (All 7 Lynx Flutes),240.0,3,,285.3745541,,146,139.5,,146,69.75,,146,,
,,,,,,147,139.5,,147,69.75,,147,,
Everkeep (Extreme) 1 clear with full loot,25.0,1,"Required: Unlock Everkeep (Extreme) Trial, iLvl 690",29.72651605,,148,139.5,,148,69.75,,148,,
Worqor Lar Dor (Extreme) 1 clear with full loot,25.0,1,"Required: Unlock Worqor Lar Dor (Extreme) Trial, iLvl 690",29.72651605,,149,139.5,,149,69.75,,149,,
,,,,,,150,139.5,,150,69.75,,150,,
Oppressor,35.0,3,Required: Any job level 30+,41.61712247,,151,139.5,,151,69.75,,151,,
Automatoise,32.0,3,Required: Dawntrail hunts,38.04994055,,152,139.5,,152,69.75,,152,,
Outrunner,180.0,2-3 weeks,Required: Level 100,214.0309156,,153,139.5,,153,69.75,,153,,
Ty'aitya,180.0,2-3 weeks,Required: Level 100,214.0309156,,154,139.5,,154,69.75,,154,,
Wings of Ruin (Worqor Lar Dor EX),120.0,3,"Required: Unlock Worqor Lar Dor (Extreme) Trial, iLvl 690",142.6872771,,155,139.5,,155,69.75,,155,,
Wings of Resolve (Everkeep EX),120.0,3,"Required: Unlock Everkeep (Extreme) Trial, iLvl 690",142.6872771,,156,139.5,,156,69.75,,156,,
,,,,,,157,139.5,,157,69.75,,157,,
,,,,,,158,139.5,,158,69.75,,158,,
,,,,,,159,139.5,,159,69.75,,159,,
,,,,,,160,139.5,,160,69.75,,160,,
,,,,,,161,139.5,,161,69.75,,161,,
,,,,,,162,139.5,,162,69.75,,162,,
,,,,,,163,139.5,,163,69.75,,163,,
,,,,,,164,139.5,,164,69.75,,164,,
,,,,,,165,139.5,,165,69.75,,165,,
,,,,,,166,139.5,,166,69.75,,166,,
,,,,,,167,139.5,,167,69.75,,167,,
,,,,,,168,139.5,,168,69.75,,168,,
,,,,,,169,139.5,,169,69.75,,169,,
,,,,,,170,139.5,,170,69.75,,170,,
,,,,,,171,139.5,,171,69.75,,171,,
,,,,,,172,139.5,,172,69.75,,172,,
,,,,,,173,139.5,,173,69.75,,173,,
,,,,,,174,139.5,,174,69.75,,174,,
,,,,,,175,139.5,,175,69.75,,175,,
,,,,,,176,139.5,,176,69.75,,176,,
,,,,,,177,139.5,,177,69.75,,177,,
,,,,,,178,139.5,,178,69.75,,178,,
,,,,,,179,139.5,,179,69.75,,179,,
,,,,,,180,139.5,,180,69.75,,180,,
,,,,,,181,139.5,,181,69.75,,181,,
,,,,,,182,139.5,,182,69.75,,182,,
,,,,,,183,139.5,,183,69.75,,183,,
,,,,,,184,139.5,,184,69.75,,184,,
,,,,,,185,139.5,,185,69.75,,185,,
,,,,,,186,139.5,,186,69.75,,186,,
,,,,,,187,139.5,,187,69.75,,187,,
,,,,,,188,139.5,,188,69.75,,188,,
,,,,,,189,139.5,,189,69.75,,189,,
,,,,,,190,139.5,,190,69.75,,190,,
,,,,,,191,139.5,,191,69.75,,191,,
,,,,,,192,139.5,,192,69.75,,192,,
,,,,,,193,139.5,,193,69.75,,193,,
,,,,,,194,139.5,,194,69.75,,194,,
,,,,,,195,139.5,,195,69.75,,195,,
,,,,,,196,139.5,,196,69.75,,196,,
,,,,,,197,139.5,,197,69.75,,197,,
,,,,,,198,139.5,,198,69.75,,198,,
,,,,,,199,139.5,,199,69.75,,199,0,
,,,,,,200,139.5,,200,69.75,,200,0,
