Unnamed: 0,Site & PA$,Time,PA$,Game Name,xxx,Per Level,Per Range,xxx.1,Per Level.1,Per Range.1,xxx.2,Per Level.2,Per Range.2
,,,,,01-05,0,0.0,01-05,0,0.0,01-05,0,0.0
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,0.0,05-10,0,0.0,05-10,0,0.0
,,,,,10-15,0,,10-15,0,,10-15,0,
Solo Ranked Placement Games,,,,Copy & Paste Like The Example,15-20,0,,15-20,0,,15-20,0,
,,,,,20-25,0,,20-25,0,,20-25,0,
All regions have 10 placement games,,,,Game: League of Legends,25-30,0,,25-30,0,,25-30,0,
,,,,Region (NA/EUW/EUNE):,30-35,0,,30-35,0,,30-35,0,
Previous Season Rank Per Game,,,,Game Mode: Solo (Piloted),35-40,0,,35-40,0,,35-40,0,
,,,,Game Mode: Duo,40-45,0,,40-45,0,,40-45,0,
Unranked,5.0,0.1,5.0,Game Mode: Teamfight Tactics,45-50,0,,45-50,0,,45-50,0,
Iron,5.0,0.1,5.0,Service Requested:,50-55,0,,50-55,0,,50-55,0,
Bronze,5.0,0.1,5.0,Account Login (Solo/TFT): ,55-60,0,,55-60,0,,55-60,0,
Silver,5.0,0.1,5.0,Account Password (Solo/TFT): ,60-65,0,,60-65,0,,60-65,0,
Gold,5.0,0.1,5.0,Summoner Name: ,65-70,0,,65-70,0,,65-70,0,
Platinum,7.0,0.1,7.0,Email for Updates:,70-75,0,,70-75,0,,70-75,0,
Diamond,8.0,0.1,8.0,,75-80,0,,75-80,0,,75-80,0,
,,,,Example,80-85,0,,80-85,0,,80-85,0,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,85-90,0,,85-90,0,,85-90,0,
,,,,Game: League of Legends,90-95,0,,90-95,0,,90-95,0,
Solo Ranked Per Division,,,,Region (NA/EUW/EUNE): NA,95-100,0,,95-100,0,,95-100,0,
,,,,Game Mode: Solo (Piloted),100-105,0,,100-105,0,,100-105,0,
Requires 15+ LP/Win & LP Gain > Loss,,,,Service Requested: Silver IV to Silver II,105-110,0,,105-110,0,,105-110,0,
,,,,Account Login (Solo/TFT): exampleLogin,110-115,0,,110-115,0,,110-115,0,
Iron IV to Iron III,20.0,1.0,20.0,Account Password (Solo/TFT): examplePassword,115-120,0,,115-120,0,,115-120,0,
Iron III to Iron II,20.0,1.0,20.0,Summoner Name: exampleName,120-125,0,,120-125,0,,120-125,0,
Iron II to Iron I,20.0,1.0,20.0,Email for Updates: example@example.com,125-130,0,,125-130,0,,125-130,0,
Iron I to Bronze IV,20.0,1.0,20.0,,130-135,0,,130-135,0,,130-135,0,
Bronze IV to Bronze III,20.0,1.0,20.0,,135-140,0,,135-140,0,,135-140,0,
Bronze III to Bronze II,20.0,1.0,20.0,,140-145,0,,140-145,0,,140-145,0,
Bronze II to Bronze I,20.0,1.0,20.0,Use Site pricing for PA,145-150,0,,145-150,0,,145-150,0,
Bronze I to Silver IV,20.0,1.0,20.0,,150-155,0,,150-155,0,,150-155,0,
Silver IV to Silver III,25.0,1.0,25.0,,155-160,0,,155-160,0,,155-160,0,
Silver III to Silver II,25.0,1.0,25.0,,160-165,0,,160-165,0,,160-165,0,
Silver II to Silver I,25.0,1.0,25.0,https://user.playerauctions.com/offerCreation/?offerid=177508051&type=powerleveling&actiontype=copy,165-170,0,,165-170,0,,165-170,0,
Silver I to Gold IV,30.0,1.0,30.0,,175-180,0,,175-180,0,,175-180,0,
Gold IV to Gold III,35.0,1.0,35.0,https://www.epicnpc.com/threads/lol-solo-duo-boosting-placements-per-division-win-mastery-leveling.505258/,180-185,0,,180-185,0,,180-185,0,
Gold III to Gold II,35.0,1.0,35.0,https://www.ownedcore.com/forums/showthread.php?t=961292&p=4346878#post4346878,185-190,0,,185-190,0,,185-190,0,
Gold II to Gold I,40.0,1.0,40.0,https://www.elitepvpers.com/forum/league-legends-trading/2994003-ogedge-com-elo-boosting-duo-coaching-accounts-ranked-unranked-16-50-champs.html,190-195,0,,190-195,0,,190-195,0,
Gold I to Platinum IV,45.0,1.0,45.0,https://www.elitepvpers.com/forum/league-legends-trading/4825503-duo-boosting-placements-per-division-win-game.html#post38423668,195-200,0,,195-200,0,,195-200,0,
Platinum IV to Platinum III,50.0,1.5,50.0,https://www.sythe.org/threads/ogedge-com-verified-tft-solo-duo-ranked-placements-per-division-win-mastery-leveling/#post-13219761,,,0.0,,,0.0,,,0.0
Platinum III to Platinum II,50.0,1.5,50.0,,,,,,,,,,
Platinum II to Platinum I,55.0,1.5,55.0,,Current,1,,Current,1,,Current,1,
Platinum I to Diamond IV,65.0,1.5,65.0,,Desired,60,,Desired,200,,Desired,200,
Diamond IV to Diamond III,90.0,2.0,90.0,,Site,0,,Site,0,,Site,0,
Diamond III to Diamond II,120.0,2.0,120.0,,0,0,,0,0,,0,0,
Diamond II to Diamond I,150.0,3.0,150.0,,1,,,1,,,1,,
Diamond I to Master,250.0,3.0,250.0,,Markup,200,,Markup,200,,Markup,200,
,,,,,0.2,250,,0.2,250,,0.2,250,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,,,,,,,,
Solo Ranked Per Net Win,,,,,Level,Cumulative,,xxx,Cumulative,,xxx,Cumulative,
,,,,,1,0,,1,0,,1,0,
Iron IV,4.0,0.2,4.0,,2,,,2,,,2,,
Iron III,4.0,0.2,4.0,,3,,,3,,,3,,
Iron II,4.0,0.2,4.0,,4,,,4,,,4,,
Iron I,4.0,0.2,4.0,,5,,,5,,,5,,
Bronze IV,4.0,0.2,4.0,,6,,,6,,,6,,
Bronze III,4.0,0.2,4.0,,7,,,7,,,7,,
Bronze II,4.0,0.2,4.0,,8,,,8,,,8,,
Bronze I,4.0,0.2,4.0,,9,,,9,,,9,,
Silver IV,5.0,0.2,5.0,,10,,,10,,,10,,
Silver III,5.0,0.2,5.0,,11,,,11,,,11,,
Silver II,5.0,0.2,5.0,,12,,,12,,,12,,
Silver I,6.0,0.2,6.0,,13,,,13,,,13,,
Gold IV,7.0,0.2,7.0,,14,,,14,,,14,,
Gold III,7.0,0.2,7.0,,15,,,15,,,15,,
Gold II,8.0,0.2,8.0,,16,,,16,,,16,,
Gold I,9.0,0.2,9.0,,17,,,17,,,17,,
Platinum IV,10.0,0.2,10.0,,18,,,18,,,18,,
Platinum III,10.0,0.2,10.0,,19,,,19,,,19,,
Platinum II,11.0,0.2,11.0,,20,,,20,,,20,,
Platinum I,13.0,0.2,13.0,,21,,,21,,,21,,
Diamond IV,16.0,0.2,16.0,,22,,,22,,,22,,
Diamond III,20.0,0.2,20.0,,23,,,23,,,23,,
Diamond II,25.0,0.2,25.0,,24,,,24,,,24,,
Diamond I,30.0,0.2,30.0,,25,,,25,,,25,,
,,,,,26,,,26,,,26,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,27,,,27,,,27,,
,,,,,28,,,28,,,28,,
Duo Ranked Placement Games,,,,,29,,,29,,,29,,
,,,,,30,,,30,,,30,,
All regions have 10 placement games,,,,,31,,,31,,,31,,
,,,,,32,,,32,,,32,,
Previous Season Rank Per Game,,,,,33,,,33,,,33,,
,,,,,34,,,34,,,34,,
Unranked,7.0,0.1,7.0,,35,,,35,,,35,,
Iron,7.0,0.1,7.0,,36,,,36,,,36,,
Bronze,7.0,0.1,7.0,,37,,,37,,,37,,
Silver,7.0,0.1,7.0,,38,,,38,,,38,,
Gold,7.0,0.1,7.0,,39,,,39,,,39,,
Platinum,9.0,0.1,9.0,,40,,,40,,,40,,
Diamond,11.0,0.1,11.0,,41,,,41,,,41,,
Master,15.0,0.1,15.0,,42,,,42,,,42,,
Grand Master,15.0,0.1,15.0,,43,,,43,,,43,,
Challenger,20.0,0.1,20.0,,44,,,44,,,44,,
,,,,,45,,,45,,,45,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,46,,,46,,,46,,
,,,,,47,,,47,,,47,,
Duo Ranked Per Division,,,,,48,,,48,,,48,,
,,,,,49,,,49,,,49,,
Requires 15+ LP/Win & LP Gain > Loss,,,,,50,,,50,,,50,,
,,,,,51,,,51,,,51,,
Iron IV to Iron III,24.0,1.0,24.0,,52,,,52,,,52,,
Iron III to Iron II,24.0,1.0,24.0,,53,,,53,,,53,,
Iron II to Iron I,24.0,1.0,24.0,,54,,,54,,,54,,
Iron I to Bronze IV,24.0,1.0,24.0,,55,,,55,,,55,,
Bronze IV to Bronze III,24.0,1.0,24.0,,56,,,56,,,56,,
Bronze III to Bronze II,24.0,1.0,24.0,,57,,,57,,,57,,
Bronze II to Bronze I,24.0,1.0,24.0,,58,,,58,,,58,,
Bronze I to Silver IV,24.0,1.0,24.0,,59,,,59,,,59,,
Silver IV to Silver III,30.0,1.0,30.0,,60,,,60,,,60,,
Silver III to Silver II,30.0,1.0,30.0,,61,,,61,,,61,,
Silver II to Silver I,30.0,1.0,30.0,,62,,,62,,,62,,
Silver I to Gold IV,36.0,1.0,36.0,,63,,,63,,,63,,
Gold IV to Gold III,46.0,1.0,46.0,,64,,,64,,,64,,
Gold III to Gold II,46.0,1.0,46.0,,65,,,65,,,65,,
Gold II to Gold I,52.0,1.0,52.0,,66,,,66,,,66,,
Gold I to Platinum IV,59.0,1.0,59.0,,67,,,67,,,67,,
Platinum IV to Platinum III,65.0,1.5,65.0,,68,,,68,,,68,,
Platinum III to Platinum II,65.0,1.5,65.0,,69,,,69,,,69,,
Platinum II to Platinum I,72.0,1.5,72.0,,70,,,70,,,70,,
Platinum I to Diamond IV,85.0,1.5,85.0,,71,,,71,,,71,,
Diamond IV to Diamond III,120.0,2.0,120.0,,72,,,72,,,72,,
Diamond III to Diamond II,150.0,2.0,150.0,,73,,,73,,,73,,
Diamond II to Diamond I,225.0,3.0,225.0,,74,,,74,,,74,,
Diamond I to Master,375.0,3.0,375.0,,75,,,75,,,75,,
,,,,,76,,,76,,,76,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,77,,,77,,,77,,
,,,,,78,,,78,,,78,,
Duo Ranked Per Net Win,,,,,79,,,79,,,79,,
,,,,,80,,,80,,,80,,
Iron IV,5.0,0.2,5.0,,81,,,81,,,81,,
Iron III,5.0,0.2,5.0,,82,,,82,,,82,,
Iron II,5.0,0.2,5.0,,83,,,83,,,83,,
Iron I,5.0,0.2,5.0,,84,,,84,,,84,,
Bronze IV,5.0,0.2,5.0,,85,,,85,,,85,,
Bronze III,5.0,0.2,5.0,,86,,,86,,,86,,
Bronze II,5.0,0.2,5.0,,87,,,87,,,87,,
Bronze I,5.0,0.2,5.0,,88,,,88,,,88,,
Silver IV,6.0,0.2,6.0,,89,,,89,,,89,,
Silver III,6.0,0.2,6.0,,90,,,90,,,90,,
Silver II,6.0,0.2,6.0,,91,,,91,,,91,,
Silver I,7.0,0.2,7.0,,92,,,92,,,92,,
Gold IV,8.0,0.2,8.0,,93,,,93,,,93,,
Gold III,8.0,0.2,8.0,,94,,,94,,,94,,
Gold II,10.0,0.2,10.0,,95,,,95,,,95,,
Gold I,11.0,0.2,11.0,,96,,,96,,,96,,
Platinum IV,12.0,0.2,12.0,,97,,,97,,,97,,
Platinum III,12.0,0.2,12.0,,98,,,98,,,98,,
Platinum II,13.0,0.2,13.0,,99,,,99,,,99,,
Platinum I,16.0,0.2,16.0,,100,,,100,,,100,,
Diamond IV,19.0,0.2,19.0,,101,,,101,,,101,,
Diamond III,24.0,0.2,24.0,,102,,,102,,,102,,
Diamond II,30.0,0.2,30.0,,103,,,103,,,103,,
Diamond I,36.0,0.2,36.0,,104,,,104,,,104,,
,,,,,105,,,105,,,105,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,106,,,106,,,106,,
,,,,,107,,,107,,,107,,
Duo Ranked Per Game,,,,,108,,,108,,,108,,
,,,,,109,,,109,,,109,,
Iron IV,4.0,0.2,4.0,,110,,,110,,,110,,
Iron III,4.0,0.2,4.0,,111,,,111,,,111,,
Iron II,4.0,0.2,4.0,,112,,,112,,,112,,
Iron I,4.0,0.2,4.0,,113,,,113,,,113,,
Bronze IV,4.0,0.2,4.0,,114,,,114,,,114,,
Bronze III,4.0,0.2,4.0,,115,,,115,,,115,,
Bronze II,4.0,0.2,4.0,,116,,,116,,,116,,
Bronze I,4.0,0.2,4.0,,117,,,117,,,117,,
Silver IV,5.0,0.2,5.0,,118,,,118,,,118,,
Silver III,5.0,0.2,5.0,,119,,,119,,,119,,
Silver II,5.0,0.2,5.0,,120,,,120,,,120,,
Silver I,6.0,0.2,6.0,,121,,,121,,,121,,
Gold IV,7.0,0.2,7.0,,122,,,122,,,122,,
Gold III,7.0,0.2,7.0,,123,,,123,,,123,,
Gold II,8.0,0.2,8.0,,124,,,124,,,124,,
Gold I,9.0,0.2,9.0,,125,,,125,,,125,,
Platinum IV,10.0,0.2,10.0,,126,,,126,,,126,,
Platinum III,10.0,0.2,10.0,,127,,,127,,,127,,
Platinum II,11.0,0.2,11.0,,128,,,128,,,128,,
Platinum I,13.0,0.2,13.0,,129,,,129,,,129,,
Diamond IV,16.0,0.2,16.0,,130,,,130,,,130,,
Diamond III,20.0,0.2,20.0,,131,,,131,,,131,,
Diamond II,25.0,0.2,25.0,,132,,,132,,,132,,
Diamond I,30.0,0.2,30.0,,133,,,133,,,133,,
,,,,,134,,,134,,,134,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,135,,,135,,,135,,
,,,,,136,,,136,,,136,,
TFT Ranked Per Division,,,,,137,,,137,,,137,,
,,,,,138,,,138,,,138,,
Iron IV to Iron III,5.0,1.0,5.0,,139,,,139,,,139,,
Iron III to Iron II,5.0,1.0,5.0,,140,,,140,,,140,,
Iron II to Iron I,5.0,1.0,5.0,,141,,,141,,,141,,
Iron I to Bronze IV,5.0,1.0,5.0,,142,,,142,,,142,,
Bronze IV to Bronze III,5.0,1.0,5.0,,143,,,143,,,143,,
Bronze III to Bronze II,5.0,1.0,5.0,,144,,,144,,,144,,
Bronze II to Bronze I,5.0,1.0,5.0,,145,,,145,,,145,,
Bronze I to Silver IV,7.0,1.0,7.0,,146,,,146,,,146,,
Silver IV to Silver III,8.0,1.0,8.0,,147,,,147,,,147,,
Silver III to Silver II,8.0,1.0,8.0,,148,,,148,,,148,,
Silver II to Silver I,8.0,1.0,8.0,,149,,,149,,,149,,
Silver I to Gold IV,10.0,1.0,10.0,,150,,,150,,,150,,
Gold IV to Gold III,12.0,1.0,12.0,,151,,,151,,,151,,
Gold III to Gold II,12.0,1.0,12.0,,152,,,152,,,152,,
Gold II to Gold I,12.0,1.0,12.0,,153,,,153,,,153,,
Gold I to Platinum IV,15.0,1.0,15.0,,154,,,154,,,154,,
Platinum IV to Platinum III,20.0,1.5,20.0,,155,,,155,,,155,,
Platinum III to Platinum II,20.0,1.5,20.0,,156,,,156,,,156,,
Platinum II to Platinum I,30.0,1.5,30.0,,157,,,157,,,157,,
Platinum I to Diamond IV,35.0,1.5,35.0,,158,,,158,,,158,,
Diamond IV to Diamond III,50.0,2.0,50.0,,159,,,159,,,159,,
Diamond III to Diamond II,70.0,2.0,70.0,,160,,,160,,,160,,
Diamond II to Diamond I,80.0,3.0,80.0,,161,,,161,,,161,,
Diamond I to Master,150.0,3.0,150.0,,162,,,162,,,162,,
,,,,,163,,,163,,,163,,
,,,,,164,,,164,,,164,,
,,,,,165,,,165,,,165,,
,,,,,166,,,166,,,166,,
,,,,,167,,,167,,,167,,
,,,,,168,,,168,,,168,,
,,,,,169,,,169,,,169,,
,,,,,170,,,170,,,170,,
,,,,,171,,,171,,,171,,
,,,,,172,,,172,,,172,,
,,,,,173,,,173,,,173,,
,,,,,174,,,174,,,174,,
,,,,,175,,,175,,,175,,
,,,,,176,,,176,,,176,,
,,,,,177,,,177,,,177,,
,,,,,178,,,178,,,178,,
,,,,,179,,,179,,,179,,
,,,,,180,,,180,,,180,,
,,,,,181,,,181,,,181,,
,,,,,182,,,182,,,182,,
,,,,,183,,,183,,,183,,
,,,,,184,,,184,,,184,,
,,,,,185,,,185,,,185,,
,,,,,186,,,186,,,186,,
,,,,,187,,,187,,,187,,
,,,,,188,,,188,,,188,,
,,,,,189,,,189,,,189,,
,,,,,190,,,190,,,190,,
,,,,,191,,,191,,,191,,
,,,,,192,,,192,,,192,,
,,,,,193,,,193,,,193,,
,,,,,194,,,194,,,194,,
,,,,,195,,,195,,,195,,
,,,,,196,,,196,,,196,,
,,,,,197,,,197,,,197,,
,,,,,198,,,198,,,198,,
,,,,,199,0,,199,0,,199,0,
,,,,,200,0,,200,0,,200,0,
