Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Weapon,Per Level.1,Per Range.1,Profession,Per Level.2,Per Range.2
,,,,,,01-05,1,4.0,01-05,2.5,10.0,01-05,0.2,0.8
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,05-10,3,15.0,05-10,0.25,1.25
,,,,,,10-15,3,15.0,10-15,4,20.0,10-15,0.25,1.25
Character Leveling,,,,,Copy & Paste Like The Example,15-20,3,15.0,15-20,8,40.0,15-20,0.25,1.25
,,,,,,20-25,4,20.0,20-25,0,,20-25,0.5,2.5
Includes Leveling a Primary & Secondary Weapon,,,,,Game: New World,25-30,4,20.0,25-30,0,,25-30,0.5,2.5
,,,,,"Region (US, EU, SA, AP): ",30-35,5,25.0,30-35,0,,30-35,0.5,2.5
01-60,344.0,10.7,,409.0368609,Platform (Steam/Amazon): ,35-40,6,30.0,35-40,0,,35-40,0.5,2.5
01-50,229.0,6.7,,272.294887,Service: ,40-45,9,45.0,40-45,0,,40-45,0.5,2.5
01-40,139.0,4.2,,165.2794293,Server Name: ,45-50,9,45.0,45-50,0,,45-50,0.5,2.5
01-30,84.0,2.2,,99.88109394,Primary Weapon: ,50-55,11,55.0,50-55,0,,50-55,0.75,3.75
,,,,,Secondary Weapon: ,55-60,12,60.0,55-60,0,,55-60,0.75,3.75
Custom Leveling Brackets,,,,,Login: ,60-65,0,,60-65,0,,60-65,0.75,3.75
,,,,,Password: ,65-70,0,,65-70,0,,65-70,0.75,3.75
2020-01-05 00:00:00,4.0,0.1,,4.756242568,Character Name: ,70-75,0,,70-75,0,,70-75,0.75,3.75
2020-05-10 00:00:00,10.0,0.1,,11.89060642,Email for Updates: ,75-80,0,,75-80,0,,75-80,0.75,3.75
2020-10-15 00:00:00,15.0,0.25,,17.83590963,,80-85,0,,80-85,0,,80-85,0.75,3.75
15-20,15.0,0.25,,17.83590963,Example,85-90,0,,85-90,0,,85-90,0.75,3.75
20-25,20.0,0.5,,23.78121284,,90-95,0,,90-95,0,,90-95,0.75,3.75
25-30,20.0,1.0,,23.78121284,Game: New World,95-100,0,,95-100,0,,95-100,0.75,3.75
30-35,25.0,1.0,,29.72651605,"Region (US, EU, SA, AP):  US East",100-105,0,,100-105,0,,100-105,1.25,6.25
35-40,30.0,1.0,,35.67181926,Platform (Steam/Amazon):  Steam,105-110,0,,105-110,0,,105-110,1.25,6.25
40-45,45.0,1.0,,53.50772889,Service:  Leveling 1-50,110-115,0,,110-115,0,,110-115,1.25,6.25
45-50,45.0,1.5,,53.50772889,Server Name:  Oceana,115-120,0,,115-120,0,,115-120,1.25,6.25
50-55,55.0,2.0,,65.39833532,Primary Weapon: Fire Staff,120-125,0,,120-125,0,,120-125,1.25,6.25
55-60,60.0,2.0,,71.34363853,Secondary Weapon: Life Staff,125-130,0,,125-130,0,,125-130,1.25,6.25
,,,,,Login:  exampleLogin,130-135,0,,130-135,0,,130-135,1.25,6.25
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Password: examplePassword,135-140,0,,135-140,0,,135-140,1.25,6.25
,,,,,Character Name:  Bob,140-145,0,,140-145,0,,140-145,1.25,6.25
Weapon Mastery,,,,,Email for Updates:  example@example.com,145-150,0,,145-150,0,,145-150,1.25,6.25
,,,,,,150-155,0,,150-155,0,,150-155,2,10.0
"Sword and Shield, Rapier, Hatchet",,,,,,155-160,0,,155-160,0,,155-160,2,10.0
"Spear, Great Axe, War Hammer",,,,,,160-165,0,,160-165,0,,160-165,2,10.0
"Bow, Musket",,,,,,165-170,0,,165-170,0,,165-170,2,10.0
"Fire Staff, Life Staff, Ice Gauntlet",,,,,,175-180,0,,175-180,0,,175-180,2,10.0
,,,,,,180-185,0,,180-185,0,,180-185,2,10.0
2021-01-20 00:00:00,85.0,2.0,Requires Character Level 60,101.0701546,,185-190,0,,185-190,0,,185-190,2,10.0
,,,,,,190-195,0,,190-195,0,,190-195,2,10.0
01-05,10.0,0.1,Requires Character Level 10,11.89060642,,195-200,0,,195-200,0,,195-200,2,10.0
05-10,15.0,0.2,Requires Character Level 20,17.83590963,,,,344.0,,,85.0,,,209.55
10-15,20.0,0.7,Requires Character Level 40,23.78121284,,,,,,,,,,
15-20,40.0,1.0,Requires Character Level 60,47.56242568,https://user.playerauctions.com/offerCreation/?offerid=174627132&type=powerleveling&actiontype=copy,Current,31,,Current,1,,Current,60,
,,,,,,Desired,50,,Desired,200,,Desired,100,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://www.epicnpc.com/threads/ogedge-com-leveling-weapon-mastery-professions.2141576/,Site,140,,Site,85,,Site,30,
,,,,,https://www.ownedcore.com/forums/showthread.php?t=961297&p=4346883#post4346883,0.159,167,,0.159,102,,0.159,36,
Professions,,,,,https://www.elitepvpers.com/forum/new-world-trading/4983648-ogedge-com-new-world-leveling-professions-weapon-mastery.html#post39032976,0.841,,,0.841,,,0.841,,
,,,,,,Markup,200,,Markup,200,,Markup,200,
Fishing,,,,,,0.2,250,,0.2,250,,0.2,250,
Harvesting,,,,,,,,,,,,,,
Logging,,,,,,,,,,,,,,
Mining,,,,,,Level,Cumulative,,Weapon,Cumulative,,Profession,Cumulative,
Skinning,,,,,,1,0,,1,0,,1,0,
,,,,,,2,1,,2,2.5,,2,0.2,
01-200,209.55,,,249.1676576,,3,2,,3,5,,3,0.4,
,,,,,,4,3,,4,7.5,,4,0.6,
01-50,19.55,,,23.24613555,,5,4,,5,10,,5,0.8,
50-100,37.5,,,44.58977408,,6,6,,6,13,,6,1.05,
100-150,62.5,,,74.31629013,,7,8,,7,16,,7,1.3,
150-200,90.0,,,107.0154578,,8,10,,8,19,,8,1.55,
,,,,,,9,12,,9,22,,9,1.8,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,10,14,,10,25,,10,2.05,
,,,,,,11,17,,11,29,,11,2.3,
Weapon Mastery,,,,,,12,20,,12,33,,12,2.55,
,,,,,,13,23,,13,37,,13,2.8,
One Weapon 1-20,80.0,,Requires Character Level 60,95.12485137,,14,26,,14,41,,14,3.05,
Two Weapons 1-20,145.0,,Requires Character Level 60,172.4137931,,15,29,,15,45,,15,3.3,
,,,,,,16,32,,16,53,,16,3.55,
,,,,,,17,35,,17,61,,17,3.8,
,,,,,,18,38,,18,69,,18,4.05,
,,,,,,19,41,,19,77,,19,4.3,
,,,,,,20,44,,20,85,,20,4.55,
,,,,,,21,48,,21,85,,21,5.05,
,,,,,,22,52,,22,85,,22,5.55,
,,,,,,23,56,,23,85,,23,6.05,
,,,,,,24,60,,24,85,,24,6.55,
,,,,,,25,64,,25,85,,25,7.05,
,,,,,,26,68,,26,85,,26,7.55,
,,,,,,27,72,,27,85,,27,8.05,
,,,,,,28,76,,28,85,,28,8.55,
,,,,,,29,80,,29,85,,29,9.05,
,,,,,,30,84,,30,85,,30,9.55,
,,,,,,31,89,,31,85,,31,10.05,
,,,,,,32,94,,32,85,,32,10.55,
,,,,,,33,99,,33,85,,33,11.05,
,,,,,,34,104,,34,85,,34,11.55,
,,,,,,35,109,,35,85,,35,12.05,
,,,,,,36,115,,36,85,,36,12.55,
,,,,,,37,121,,37,85,,37,13.05,
,,,,,,38,127,,38,85,,38,13.55,
,,,,,,39,133,,39,85,,39,14.05,
,,,,,,40,139,,40,85,,40,14.55,
,,,,,,41,148,,41,85,,41,15.05,
,,,,,,42,157,,42,85,,42,15.55,
,,,,,,43,166,,43,85,,43,16.05,
,,,,,,44,175,,44,85,,44,16.55,
,,,,,,45,184,,45,85,,45,17.05,
,,,,,,46,193,,46,85,,46,17.55,
,,,,,,47,202,,47,85,,47,18.05,
,,,,,,48,211,,48,85,,48,18.55,
,,,,,,49,220,,49,85,,49,19.05,
,,,,,,50,229,,50,85,,50,19.55,
,,,,,,51,240,,51,85,,51,20.3,
,,,,,,52,251,,52,85,,52,21.05,
,,,,,,53,262,,53,85,,53,21.8,
,,,,,,54,273,,54,85,,54,22.55,
,,,,,,55,284,,55,85,,55,23.3,
,,,,,,56,296,,56,85,,56,24.05,
,,,,,,57,308,,57,85,,57,24.8,
,,,,,,58,320,,58,85,,58,25.55,
,,,,,,59,332,,59,85,,59,26.3,
,,,,,,60,344,,60,85,,60,27.05,
,,,,,,61,344,,61,85,,61,27.8,
,,,,,,62,344,,62,85,,62,28.55,
,,,,,,63,344,,63,85,,63,29.3,
,,,,,,64,344,,64,85,,64,30.05,
,,,,,,65,344,,65,85,,65,30.8,
,,,,,,66,344,,66,85,,66,31.55,
,,,,,,67,344,,67,85,,67,32.3,
,,,,,,68,344,,68,85,,68,33.05,
,,,,,,69,344,,69,85,,69,33.8,
,,,,,,70,344,,70,85,,70,34.55,
,,,,,,71,344,,71,85,,71,35.3,
,,,,,,72,344,,72,85,,72,36.05,
,,,,,,73,344,,73,85,,73,36.8,
,,,,,,74,344,,74,85,,74,37.55,
,,,,,,75,344,,75,85,,75,38.3,
,,,,,,76,344,,76,85,,76,39.05,
,,,,,,77,344,,77,85,,77,39.8,
,,,,,,78,344,,78,85,,78,40.55,
,,,,,,79,344,,79,85,,79,41.3,
,,,,,,80,344,,80,85,,80,42.05,
,,,,,,81,344,,81,85,,81,42.8,
,,,,,,82,344,,82,85,,82,43.55,
,,,,,,83,344,,83,85,,83,44.3,
,,,,,,84,344,,84,85,,84,45.05,
,,,,,,85,344,,85,85,,85,45.8,
,,,,,,86,344,,86,85,,86,46.55,
,,,,,,87,344,,87,85,,87,47.3,
,,,,,,88,344,,88,85,,88,48.05,
,,,,,,89,344,,89,85,,89,48.8,
,,,,,,90,344,,90,85,,90,49.55,
,,,,,,91,344,,91,85,,91,50.3,
,,,,,,92,344,,92,85,,92,51.05,
,,,,,,93,344,,93,85,,93,51.8,
,,,,,,94,344,,94,85,,94,52.55,
,,,,,,95,344,,95,85,,95,53.3,
,,,,,,96,344,,96,85,,96,54.05,
,,,,,,97,344,,97,85,,97,54.8,
,,,,,,98,344,,98,85,,98,55.55,
,,,,,,99,344,,99,85,,99,56.3,
,,,,,,100,344,,100,85,,100,57.05,
,,,,,,101,344,,101,85,,101,58.3,
,,,,,,102,344,,102,85,,102,59.55,
,,,,,,103,344,,103,85,,103,60.8,
,,,,,,104,344,,104,85,,104,62.05,
,,,,,,105,344,,105,85,,105,63.3,
,,,,,,106,344,,106,85,,106,64.55,
,,,,,,107,344,,107,85,,107,65.8,
,,,,,,108,344,,108,85,,108,67.05,
,,,,,,109,344,,109,85,,109,68.3,
,,,,,,110,344,,110,85,,110,69.55,
,,,,,,111,344,,111,85,,111,70.8,
,,,,,,112,344,,112,85,,112,72.05,
,,,,,,113,344,,113,85,,113,73.3,
,,,,,,114,344,,114,85,,114,74.55,
,,,,,,115,344,,115,85,,115,75.8,
,,,,,,116,344,,116,85,,116,77.05,
,,,,,,117,344,,117,85,,117,78.3,
,,,,,,118,344,,118,85,,118,79.55,
,,,,,,119,344,,119,85,,119,80.8,
,,,,,,120,344,,120,85,,120,82.05,
,,,,,,121,344,,121,85,,121,83.3,
,,,,,,122,344,,122,85,,122,84.55,
,,,,,,123,344,,123,85,,123,85.8,
,,,,,,124,344,,124,85,,124,87.05,
,,,,,,125,344,,125,85,,125,88.3,
,,,,,,126,344,,126,85,,126,89.55,
,,,,,,127,344,,127,85,,127,90.8,
,,,,,,128,344,,128,85,,128,92.05,
,,,,,,129,344,,129,85,,129,93.3,
,,,,,,130,344,,130,85,,130,94.55,
,,,,,,131,344,,131,85,,131,95.8,
,,,,,,132,344,,132,85,,132,97.05,
,,,,,,133,344,,133,85,,133,98.3,
,,,,,,134,344,,134,85,,134,99.55,
,,,,,,135,344,,135,85,,135,100.8,
,,,,,,136,344,,136,85,,136,102.05,
,,,,,,137,344,,137,85,,137,103.3,
,,,,,,138,344,,138,85,,138,104.55,
,,,,,,139,344,,139,85,,139,105.8,
,,,,,,140,344,,140,85,,140,107.05,
,,,,,,141,344,,141,85,,141,108.3,
,,,,,,142,344,,142,85,,142,109.55,
,,,,,,143,344,,143,85,,143,110.8,
,,,,,,144,344,,144,85,,144,112.05,
,,,,,,145,344,,145,85,,145,113.3,
,,,,,,146,344,,146,85,,146,114.55,
,,,,,,147,344,,147,85,,147,115.8,
,,,,,,148,344,,148,85,,148,117.05,
,,,,,,149,344,,149,85,,149,118.3,
,,,,,,150,344,,150,85,,150,119.55,
,,,,,,151,344,,151,85,,151,121.55,
,,,,,,152,344,,152,85,,152,123.55,
,,,,,,153,344,,153,85,,153,125.55,
,,,,,,154,344,,154,85,,154,127.55,
,,,,,,155,344,,155,85,,155,129.55,
,,,,,,156,344,,156,85,,156,131.55,
,,,,,,157,344,,157,85,,157,133.55,
,,,,,,158,344,,158,85,,158,135.55,
,,,,,,159,344,,159,85,,159,137.55,
,,,,,,160,344,,160,85,,160,139.55,
,,,,,,161,344,,161,85,,161,141.55,
,,,,,,162,344,,162,85,,162,143.55,
,,,,,,163,344,,163,85,,163,145.55,
,,,,,,164,344,,164,85,,164,147.55,
,,,,,,165,344,,165,85,,165,149.55,
,,,,,,166,344,,166,85,,166,151.55,
,,,,,,167,344,,167,85,,167,153.55,
,,,,,,168,344,,168,85,,168,155.55,
,,,,,,169,344,,169,85,,169,157.55,
,,,,,,170,344,,170,85,,170,159.55,
,,,,,,171,344,,171,85,,171,161.55,
,,,,,,172,344,,172,85,,172,163.55,
,,,,,,173,344,,173,85,,173,165.55,
,,,,,,174,344,,174,85,,174,167.55,
,,,,,,175,344,,175,85,,175,169.55,
,,,,,,176,344,,176,85,,176,171.55,
,,,,,,177,344,,177,85,,177,173.55,
,,,,,,178,344,,178,85,,178,175.55,
,,,,,,179,344,,179,85,,179,177.55,
,,,,,,180,344,,180,85,,180,179.55,
,,,,,,181,344,,181,85,,181,181.55,
,,,,,,182,344,,182,85,,182,183.55,
,,,,,,183,344,,183,85,,183,185.55,
,,,,,,184,344,,184,85,,184,187.55,
,,,,,,185,344,,185,85,,185,189.55,
,,,,,,186,344,,186,85,,186,191.55,
,,,,,,187,344,,187,85,,187,193.55,
,,,,,,188,344,,188,85,,188,195.55,
,,,,,,189,344,,189,85,,189,197.55,
,,,,,,190,344,,190,85,,190,199.55,
,,,,,,191,344,,191,85,,191,201.55,
,,,,,,192,344,,192,85,,192,203.55,
,,,,,,193,344,,193,85,,193,205.55,
,,,,,,194,344,,194,85,,194,207.55,
,,,,,,195,344,,195,85,,195,209.55,
,,,,,,196,344,,196,85,,196,209.55,
,,,,,,197,344,,197,85,,197,209.55,
,,,,,,198,344,,198,85,,198,209.55,
,,,,,,199,344,,199,85,,199,209.55,
,,,,,,200,344,,200,85,,200,209.55,
