Unnamed: 0,Site$,Time,Required,PA$,Game Name,xxx,Per Level,Per Range,Ranked Boosting,Per Div,Per Point,RP,Unnamed: 21
,,,,,,01-05,0,0.0,Bronze 0-375,19.99875,0.05333,0,375
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,0,,Bronze 375-750,19.99875,0.05333,375,375
,,,,,,10-15,0,,Bronze 750-1125,19.99875,0.05333,750,375
Leveling,,,,,Copy & Paste Like The Example,15-20,0,,Bronze 1125-1500,19.99875,0.05333,1125,375
,,,    ,,,20-25,0,,Silver 1500-1625,10,0.08,1500,125
2019-01-25 00:00:00,50.0,2.0,,59.52380952,Game: Overwatch,25-30,0,,Silver 1625-1750,10,0.08,1625,125
,,,,,Platform (PC/XBOX/PS4): ,30-35,0,,Silver 1750-1875,10,0.08,1750,125
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Service Requested: ,35-40,0,,Silver 1875-2000,10,0.08,1875,125
,,,,,Role:,40-45,0,,Gold 2000-2125,10,0.08,2000,125
Solo (Piloted) Placements Per Game,,,,,Login: ,45-50,0,,Gold 2125-2250,10,0.08,2125,125
,,,,,Password: ,50-55,0,,Gold 2250-2375,10,0.08,2250,125
Bronze ,3.0,0.25,,3.571428571,Account Name:,55-60,0,,Gold 2375-2500,10,0.08,2375,125
Silver ,4.0,0.25,,4.761904762,Email for Updates:,60-65,0,,Platinum 2500-2625,20,0.16,2500,125
Gold ,4.0,0.25,,4.761904762,,65-70,0,,Platinum 2625-2750,20,0.16,2625,125
Platinum ,6.0,0.25,,7.142857143,Example,70-75,0,,Platinum 2750-2875,20,0.16,2750,125
Diamond ,7.0,0.25,,8.333333333,,75-80,0,,Platinum 2875-3000,20,0.16,2875,125
,,,,,Game: Overwatch,80-85,0,,Diamond 3000-3125,25,0.2,3000,125
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,Platform (PC/XBOX/PS4): PC,85-90,0,,Diamond 3125-3250,25,0.2,3125,125
,,,,,Service Requested: Gold 2000 to Diamond 3000,90-95,0,,Diamond 3250-3375,25,0.2,3250,125
Duo (Self-Play) Placements Per Game,,,,,Role: Tank,95-100,0,,Diamond 3375-3500,25,0.2,3375,625
,,,,,Login: exampleLogin,100-105,0,,Master 3500-3625,50,0.4,3500,250
Bronze ,5.0,0.25,,5.952380952,Password: examplePass,105-110,0,,Master 3625-3750,50,0.4,3625,250
Silver ,6.0,0.25,,7.142857143,Account Name: Example#1234,110-115,0,,Master 3750-3875,50,0.4,3750,250
Gold ,6.0,0.25,,7.142857143,Email for Updates: example@example.com,115-120,0,,Master 3875-4000,50,0.4,3875,125
Platinum ,8.0,0.25,,9.523809524,,120-125,0,,Grandmaster 4000,539.995,,4000,
Diamond ,9.0,0.25,,10.71428571,,125-130,0,,,,,,
,,,,,,130-135,0,,,,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,135-140,0,,,,,,
,,,,,https://user.playerauctions.com/offerCreation/?offerid=174628138&type=powerleveling&actiontype=copy,140-145,0,,,,,,
Solo (Piloted) Per Division Boosting,,,,,,145-150,0,,,,,,
,,,,,https://www.epicnpc.com/threads/ogedge-com-overwatch-per-division-booting.1514516/,150-155,0,,,,,,
Bronze 0-375,19.99875,0.25,,23.80803571,https://www.ownedcore.com/forums/showthread.php?t=925737&p=4261941#post4261941,155-160,0,,,,,,
Bronze 375-750,19.99875,0.25,,23.80803571,https://www.elitepvpers.com/forum/overwatch-trading/4825506-ogedge-leveling-solo-duo-division-boosting.html#post38423675,160-165,0,,Ranked Point,Per Point,Per Bracket,Calc,Duo
Bronze 750-1125,19.99875,0.25,,23.80803571,,165-170,0,,,,,,
Bronze 1125-1500,19.99875,0.25,,23.80803571,,175-180,0,,1,0.05333,6.61292,0.05333,0.0666625
Silver 1500-1625,10.0,0.25,,11.9047619,,180-185,0,,125,0.05333,6.66625,6.66625,8.3328125
Silver 1625-1750,10.0,0.25,,11.9047619,,185-190,0,,250,0.05333,6.66625,13.3325,16.665625
Silver 1750-1875,10.0,0.25,,11.9047619,,190-195,0,,375,0.05333,6.66625,19.99875,24.9984375
Silver 1875-2000,10.0,0.25,,11.9047619,,195-200,0,,500,0.05333,6.66625,26.665,33.33125
Gold 2000-2125,10.0,0.25,,11.9047619,,,,0.0,625,0.05333,6.66625,33.33125,41.6640625
Gold 2125-2250,10.0,0.25,,11.9047619,,,,,750,0.05333,6.66625,39.9975,49.996875
Gold 2250-2375,10.0,0.25,,11.9047619,,Current,1,,875,0.05333,6.66625,46.66375,58.3296875
Gold 2375-2500,10.0,0.25,,11.9047619,,Desired,60,,1000,0.05333,6.66625,53.33,66.6625
Platinum 2500-2625,20.0,0.25,,23.80952381,,Site,0,,1125,0.05333,6.66625,59.99625,74.9953125
Platinum 2625-2750,20.0,0.25,,23.80952381,,0.16,0,,1250,0.05333,6.66625,66.6625,83.328125
Platinum 2750-2875,20.0,0.25,,23.80952381,,0.84,,,1375,0.05333,6.66625,73.32875,91.6609375
Platinum 2875-3000,20.0,0.25,,23.80952381,,Markup,200,,1500,0.08,10,79.995,99.99375
Diamond 3000-3125,25.0,0.5,,29.76190476,,0.2,250,,1625,0.08,10,89.995,112.49375
Diamond 3125-3250,25.0,0.5,,29.76190476,,,,,1750,0.08,10,99.995,124.99375
Diamond 3250-3375,25.0,0.5,,29.76190476,,,,,1875,0.08,10,109.995,137.49375
Diamond 3375-3500,25.0,0.5,,29.76190476,,Level,Cumulative,,2000,0.08,10,119.995,149.99375
Master 3500-3625,50.0,1.0,,59.52380952,,1,0,,2125,0.08,10,129.995,162.49375
Master 3625-3750,50.0,1.0,,59.52380952,,2,,,2250,0.08,10,139.995,174.99375
Master 3750-3875,50.0,1.0,,59.52380952,,3,,,2375,0.08,10,149.995,187.49375
Master 3875-4000 GM,50.0,1.0,,59.52380952,,4,,,2500,0.16,20,159.995,199.99375
,,,,,,5,,,2625,0.16,20,179.995,224.99375
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,6,,,2750,0.16,20,199.995,249.99375
,,,,,,7,,,2875,0.16,20,219.995,274.99375
Duo (Self-Play) Per Division Boosting,,,,,,8,,,3000,0.2,25,239.995,299.99375
,,,,,,9,,,3125,0.2,25,264.995,331.24375
Bronze 0-375,24.9984375,0.25,,29.76004464,,10,,,3250,0.2,25,289.995,362.49375
Bronze 375-750,24.9984375,0.25,,29.76004464,,11,,,3375,0.2,25,314.995,393.74375
Bronze 750-1125,24.9984375,0.25,,29.76004464,,12,,,3500,0.4,50,339.995,424.99375
Bronze 1125-1500,24.9984375,0.25,,29.76004464,,13,,,3625,0.4,50,389.995,487.49375
Silver 1500-1625,12.5,0.25,,14.88095238,,14,,,3750,0.4,50,439.995,549.99375
Silver 1625-1750,12.5,0.25,,14.88095238,,15,,,3875,0.4,50,489.995,612.49375
Silver 1750-1875,12.5,0.25,,14.88095238,,16,,,4000,,,539.995,674.99375
Silver 1875-2000,12.5,0.25,,14.88095238,,17,,,,,,,
Gold 2000-2125,12.5,0.25,,14.88095238,,18,,,,,,,
Gold 2125-2250,12.5,0.25,,14.88095238,,19,,,,,,,
Gold 2250-2375,12.5,0.25,,14.88095238,,20,,,,,,,
Gold 2375-2500,12.5,0.25,,14.88095238,,21,,,1,2000,2000,,
Platinum 2500-2625,25.0,0.25,,29.76190476,,22,,,2,3500,5500,,
Platinum 2625-2750,25.0,0.25,,29.76190476,,23,,,3,5000,10500,,
Platinum 2750-2875,25.0,0.25,,29.76190476,,24,,,4,6500,17000,,
Platinum 2875-3000,25.0,0.25,,29.76190476,,25,,,5,7500,24500,,
Diamond 3000-3125,31.25,0.5,,37.20238095,,26,,,6,8500,33000,,
Diamond 3125-3250,31.25,0.5,,37.20238095,,27,,,7,9500,42500,,
Diamond 3250-3375,31.25,0.5,,37.20238095,,28,,,8,10500,53000,,
Diamond 3375-3500,31.25,0.5,,37.20238095,,29,,,9,11500,64500,,
Master 3500-3625,62.5,1.0,,74.4047619,,30,,,10,12500,77000,,
Master 3625-3750,62.5,1.0,,74.4047619,,31,,,11,13500,90500,,
Master 3750-3875,62.5,1.0,,74.4047619,,32,,,12,14500,105000,,
Master 3875-4000 GM,62.5,1.0,,74.4047619,,33,,,13,15000,120000,,
,,,,,,34,,,14,15500,135500,,
,,,,,,35,,,15,16000,151500,,
,,,,,,36,,,16,16500,168000,,
,,,,,,37,,,17,17000,185000,,
,,,,,,38,,,18,17500,202500,,
,,,,,,39,,,19,18000,220500,,
,,,,,,40,,,20,18500,239000,,
,,,,,,41,,,21,19000,258000,,
,,,,,,42,,,22,20000,278000,,
,,,,,,43,,,23,20000,298000,,
,,,,,,44,,,24,20000,318000,,
,,,,,,45,,,25,20000,338000,1,
,,,,,,46,,,,,,,
,,,,,,47,,,,,,,
,,,,,,48,,,,,,,
,,,,,,49,,,,,,,
,,,,,,50,,,,,,,
,,,,,,51,,,,,,,
,,,,,,52,,,,,,,
,,,,,,53,,,,,,,
,,,,,,54,,,,,,,
,,,,,,55,,,,,,,
,,,,,,56,,,,,,,
,,,,,,57,,,,,,,
,,,,,,58,,,,,,,
,,,,,,59,,,,,,,
,,,,,,60,,,,,,,
,,,,,,61,,,,,,,
,,,,,,62,,,,,,,
,,,,,,63,,,,,,,
,,,,,,64,,,,,,,
,,,,,,65,,,,,,,
,,,,,,66,,,,,,,
,,,,,,67,,,,,,,
,,,,,,68,,,,,,,
,,,,,,69,,,,,,,
,,,,,,70,,,,,,,
,,,,,,71,,,,,,,
,,,,,,72,,,,,,,
,,,,,,73,,,,,,,
,,,,,,74,,,,,,,
,,,,,,75,,,,,,,
,,,,,,76,,,,,,,
,,,,,,77,,,,,,,
,,,,,,78,,,,,,,
,,,,,,79,,,,,,,
,,,,,,80,,,,,,,
,,,,,,81,,,,,,,
,,,,,,82,,,,,,,
,,,,,,83,,,,,,,
,,,,,,84,,,,,,,
,,,,,,85,,,,,,,
,,,,,,86,,,,,,,
,,,,,,87,,,,,,,
,,,,,,88,,,,,,,
,,,,,,89,,,,,,,
,,,,,,90,,,,,,,
,,,,,,91,,,,,,,
,,,,,,92,,,,,,,
,,,,,,93,,,,,,,
,,,,,,94,,,,,,,
,,,,,,95,,,,,,,
,,,,,,96,,,,,,,
,,,,,,97,,,,,,,
,,,,,,98,,,,,,,
,,,,,,99,,,,,,,
,,,,,,100,,,,,,,
,,,,,,101,,,,,,,
,,,,,,102,,,,,,,
,,,,,,103,,,,,,,
,,,,,,104,,,,,,,
,,,,,,105,,,,,,,
,,,,,,106,,,,,,,
,,,,,,107,,,,,,,
,,,,,,108,,,,,,,
,,,,,,109,,,,,,,
,,,,,,110,,,,,,,
,,,,,,111,,,,,,,
,,,,,,112,,,,,,,
,,,,,,113,,,,,,,
,,,,,,114,,,,,,,
,,,,,,115,,,,,,,
,,,,,,116,,,,,,,
,,,,,,117,,,,,,,
,,,,,,118,,,,,,,
,,,,,,119,,,,,,,
,,,,,,120,,,,,,,
,,,,,,121,,,,,,,
,,,,,,122,,,,,,,
,,,,,,123,,,,,,,
,,,,,,124,,,,,,,
,,,,,,125,,,,,,,
,,,,,,126,,,,,,,
,,,,,,127,,,,,,,
,,,,,,128,,,,,,,
,,,,,,129,,,,,,,
,,,,,,130,,,,,,,
,,,,,,131,,,,,,,
,,,,,,132,,,,,,,
,,,,,,133,,,,,,,
,,,,,,134,,,,,,,
,,,,,,135,,,,,,,
,,,,,,136,,,,,,,
,,,,,,137,,,,,,,
,,,,,,138,,,,,,,
,,,,,,139,,,,,,,
,,,,,,140,,,,,,,
,,,,,,141,,,,,,,
,,,,,,142,,,,,,,
,,,,,,143,,,,,,,
,,,,,,144,,,,,,,
,,,,,,145,,,,,,,
,,,,,,146,,,,,,,
,,,,,,147,,,,,,,
,,,,,,148,,,,,,,
,,,,,,149,,,,,,,
,,,,,,150,,,,,,,
,,,,,,151,,,,,,,
,,,,,,152,,,,,,,
,,,,,,153,,,,,,,
,,,,,,154,,,,,,,
,,,,,,155,,,,,,,
,,,,,,156,,,,,,,
,,,,,,157,,,,,,,
,,,,,,158,,,,,,,
,,,,,,159,,,,,,,
,,,,,,160,,,,,,,
,,,,,,161,,,,,,,
,,,,,,162,,,,,,,
,,,,,,163,,,,,,,
,,,,,,164,,,,,,,
,,,,,,165,,,,,,,
,,,,,,166,,,,,,,
,,,,,,167,,,,,,,
,,,,,,168,,,,,,,
,,,,,,169,,,,,,,
,,,,,,170,,,,,,,
,,,,,,171,,,,,,,
,,,,,,172,,,,,,,
,,,,,,173,,,,,,,
,,,,,,174,,,,,,,
,,,,,,175,,,,,,,
,,,,,,176,,,,,,,
,,,,,,177,,,,,,,
,,,,,,178,,,,,,,
,,,,,,179,,,,,,,
,,,,,,180,,,,,,,
,,,,,,181,,,,,,,
,,,,,,182,,,,,,,
,,,,,,183,,,,,,,
,,,,,,184,,,,,,,
,,,,,,185,,,,,,,
,,,,,,186,,,,,,,
,,,,,,187,,,,,,,
,,,,,,188,,,,,,,
,,,,,,189,,,,,,,
,,,,,,190,,,,,,,
,,,,,,191,,,,,,,
,,,,,,192,,,,,,,
,,,,,,193,,,,,,,
,,,,,,194,,,,,,,
,,,,,,195,,,,,,,
,,,,,,196,,,,,,,
,,,,,,197,,,,,,,
,,,,,,198,,,,,,,
,,,,,,199,0,,,,,,
,,,,,,200,0,,,,,,
