Unnamed: 0,Site$,Time,Required,PA$,Game Name,Level,Per Level,Per Range,Unnamed: 17,Rank,Division,Win
,,,,,,01-05,2,8.0,1.0,Iron I,15,7
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,05-10,2,10.0,2.0,Iron II,15,7
,,,,,,10-15,2,10.0,3.0,Iron III,15,7
Rank Division Boosting (Solo Piloted),,,    ,,Copy & Paste Like The Example,15-20,2,10.0,4.0,Bronze I,15,7
,,,,,,20-25,2,10.0,5.0,Bronze II,18,7
Iron I - Iron II,15.0,0.25,,17.83590963,Game: Valorant,25-30,2,10.0,6.0,Bronze III,18,7
Iron II - Iron III,15.0,0.25,,17.83590963,Region (NA/EU/OCE/SEA):,30-35,2,10.0,7.0,Silver I,20,8
Iron III - Bronze I,15.0,0.25,,17.83590963,Game Mode: Solo (Piloted),35-40,3,15.0,8.0,Silver II,25,8
Bronze I - Bronze II,15.0,0.25,,17.83590963,Service Requested:,40-45,4,20.0,9.0,Silver III,25,8
Bronze II - Bronze III,18.0,0.25,,21.40309156,Account Login:,45-50,5,25.0,10.0,Gold I,30,10
Bronze III - Silver I,18.0,0.25,,21.40309156,Account Password:,50-55,5,25.0,11.0,Gold II,30,10
Silver I - Silver II,20.0,0.25,,23.78121284,Display Name: ,55-60,2,10.0,12.0,Gold III,30,10
Silver II - Silver III,25.0,0.25,,29.72651605,Email for Updates:,60-65,2,10.0,13.0,Platinum I,35,13
Silver III - Gold I,25.0,0.25,,29.72651605,,65-70,2,10.0,14.0,Platinum II,35,13
Gold I - Gold II,30.0,0.25,,35.67181926,Example,70-75,2,10.0,15.0,Platinum III,40,13
Gold II - Gold III,30.0,0.25,,35.67181926,,75-80,2,10.0,16.0,Diamond I,50,25
Gold III - Platinum I,30.0,0.25,,35.67181926,Game: Valorant,80-85,3,15.0,17.0,Diamond II,65,25
Platinum I - Platinum II,35.0,1.0,,41.61712247,Region (NA/EU/OCE/SEA):NA,85-90,3,15.0,18.0,Diamond III,85,25
Platinum II - Platinum III,35.0,1.0,,41.61712247,Game Mode: Solo (Piloted),90-95,3,15.0,19.0,Ascendant I,100,42
Platinum III - Diamond I,40.0,1.0,,47.56242568,Service Requested: Silver III to Silver II,95-100,3,15.0,20.0,Ascendant II,115,45
Diamond I - Diamond II,50.0,1.0,,59.4530321,Account Login: exampleLogin,100-105,3,15.0,21.0,Ascendant III,130,48
Diamond II - Diamond III,65.0,1.0,,77.28894174,Account Password: examplePassword,105-110,4,20.0,22.0,Immortal I,200,55
Diamond III - Ascendant I,85.0,1.0,,101.0701546,Display Name: Example,110-115,4,20.0,23.0,Immortal II,200,60
Ascendant I - Ascendant  II,100.0,1.0,,118.9060642,Email for Updates: example@example.com,115-120,4,20.0,24.0,Immortal III,1100,60
Ascendant II - Ascendant III,115.0,2.0,,136.7419738,,120-125,4,20.0,25.0,Radiant,2411,
Ascendant III - Immortal I,130.0,2.0,,154.5778835,,125-130,4,20.0,26.0,,,
Immortal I - Immortal II,200.0,2.0,,237.8121284,,130-135,4,20.0,27.0,,,
Immortal II - Immortal III,200.0,2.0,,237.8121284,https://user.playerauctions.com/offerCreation/?offerid=183025324&type=powerleveling&actiontype=copy,135-140,5,25.0,28.0,,,
Immortal III - Radiant,1100.0,10.0,,1307.966706,,140-145,5,25.0,29.0,,,
,,,,,https://www.epicnpc.com/threads/%F0%9F%94%B4solo-duo-rank-boosting-net-wins-placements.1762702/,145-150,5,25.0,30.0,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,https://www.ownedcore.com/forums/showthread.php?t=925740&p=4261944#post4261944,150-155,5,25.0,,,,
,,,,,https://www.elitepvpers.com/forum/valorant-trading/4825507-solo-duo-rank-boosting-net-wins-placements.html#post38423678,155-160,,,,,,
Net Wins (Per Win) ,,,,,https://www.sythe.org/threads/ogedge-com-valorant-solo-duo-rank-boosting-net-wins-placements/,160-165,,,,Rank,Per,Calc
,,,,,,165-170,,,,Iron I,15,0
Iron I,7.0,2.0,,8.323424495,,175-180,,,,Iron II,15,15
Iron II,7.0,2.0,,8.323424495,,180-185,,,,Iron III,15,30
Iron III,7.0,2.0,,8.323424495,,185-190,,,,Bronze I,15,45
Bronze I,7.0,2.0,,8.323424495,,190-195,,,,Bronze II,18,60
Bronze II,7.0,2.0,,8.323424495,,195-200,,,,Bronze III,18,78
Bronze III,7.0,2.0,,8.323424495,,,,498.0,,Silver I,20,96
Silver I,8.0,2.0,,9.512485137,,,,,,Silver II,25,116
Silver II,8.0,2.0,,9.512485137,,Current,25,,,Silver III,25,141
Silver III,8.0,2.0,,9.512485137,,Desired,80,,,Gold I,30,166
Gold I,10.0,2.0,,11.89060642,,Site,155,,,Gold II,30,196
Gold II,10.0,2.0,,11.89060642,,0.159,185,,,Gold III,30,226
Gold III,10.0,2.0,,11.89060642,,0.841,,,,Platinum I,35,256
Platinum I,13.0,2.0,,15.45778835,,Markup,200,,,Platinum II,35,291
Platinum II,13.0,2.0,,15.45778835,,0.2,250,,,Platinum III,40,326
Platinum III,13.0,2.0,,15.45778835,,,,,,Diamond I,50,366
Diamond I,25.0,2.0,,29.72651605,,,,,,Diamond II,65,416
Diamond II,25.0,5.0,,29.72651605,,Level,Cumulative,,,Diamond III,85,481
Diamond III,25.0,5.0,,29.72651605,,1,0,,,Ascendant I,100,566
Ascendant I,42.0,5.0,,49.94054697,,2,2,,,Ascendant II,115,666
Ascendant II,45.0,5.0,,53.50772889,,3,4,,,Ascendant III,130,781
Ascendant III,48.0,5.0,,57.07491082,,4,6,,,Immortal I,200,911
Immortal I,55.0,5.0,,65.39833532,,5,8,,,Immortal II,200,1111
Immortal II,60.0,5.0,,71.34363853,,6,10,,,Immortal III,1100,1311
Immortal III,60.0,5.0,,71.34363853,,7,12,,,Radiant,,2411
,,,,,,8,14,,,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,9,16,,,,,
,,,,,,10,18,,,,,
Placement Games (Per Game),,,,,,11,20,,,,,
,,,,,,12,22,,,,,
5 Placements Needed For Ranked,,,,,,13,24,,,,,
,,,,,,14,26,,,,,
Unranked,7.0,,,8.323424495,,15,28,,,,,
Iron,7.0,,,8.323424495,,16,30,,,,,
Bronze,7.0,,,8.323424495,,17,32,,,,,
Silver,7.0,,,8.323424495,,18,34,,,,,
Gold,7.0,,,8.323424495,,19,36,,,,,
Platinum,10.0,,,11.89060642,,20,38,,,,,
Diamond,12.0,,,14.26872771,,21,40,,,,,
Ascendant,15.0,,,17.83590963,,22,42,,,,,
Immortal,18.0,,,21.40309156,,23,44,,,,,
,,,,,,24,46,,,,,
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,,,,,,25,48,,,,,
,,,,,,26,50,,,,,
Duo Per Division (Duo Self Play),,,,,,27,52,,,,,
,,,,,,28,54,,,,,
Iron I - Iron II,25.0,0.25,,29.72651605,,29,56,,,,,
Iron II - Iron III,25.0,0.25,,29.72651605,,30,58,,,,,
Iron III - Bronze I,25.0,0.5,,29.72651605,,31,60,,,,,
Bronze I - Bronze II,25.0,0.5,,29.72651605,,32,62,,,,,
Bronze II - Bronze III,25.0,0.5,,29.72651605,,33,64,,,,,
Bronze III - Silver I,25.0,0.5,,29.72651605,,34,66,,,,,
Silver I - Silver II,35.0,0.5,,41.61712247,,35,68,,,,,
Silver II - Silver III,35.0,0.5,,41.61712247,,36,71,,,,,
Silver III - Gold I,40.0,0.5,,47.56242568,,37,74,,,,,
Gold I - Gold II,45.0,0.5,,53.50772889,,38,77,,,,,
Gold II - Gold III,45.0,1.0,,53.50772889,,39,80,,,,,
Gold III - Platinum I,50.0,1.0,,59.4530321,,40,83,,,,,
Platinum I - Platinum II,50.0,1.0,,59.4530321,,41,87,,,,,
Platinum II - Platinum III,55.0,1.0,,65.39833532,,42,91,,,,,
Platinum III - Diamond I,70.0,1.0,,83.23424495,,43,95,,,,,
Diamond I - Diamond II,80.0,1.0,,95.12485137,,44,99,,,,,
Diamond II - Diamond III,90.0,1.0,,107.0154578,,45,103,,,,,
Diamond III - Ascendant I,150.0,1.0,,178.3590963,,46,108,,,,,
Ascendant I - Ascendant  II,170.0,2.0,,202.1403092,,47,113,,,,,
Ascendant II - Ascendant III,210.0,2.0,,249.7027348,,48,118,,,,,
Ascendantl III - Immortal I,230.0,2.0,,273.4839477,,49,123,,,,,
Immortal I - Immortal II,420.0,2.0,,499.4054697,,50,128,,,,,
Immortal II - Immortal III,550.0,4.0,,653.9833532,,51,133,,,,,
,,,,,,52,138,,,,,
,,,,,,53,143,,,,,
,,,,,,54,148,,,,,
,,,,,,55,153,,,,,
,,,,,,56,155,,,,,
,,,,,,57,157,,,,,
,,,,,,58,159,,,,,
,,,,,,59,161,,,,,
,,,,,,60,163,,,,,
,,,,,,61,165,,,,,
,,,,,,62,167,,,,,
,,,,,,63,169,,,,,
,,,,,,64,171,,,,,
,,,,,,65,173,,,,,
,,,,,,66,175,,,,,
,,,,,,67,177,,,,,
,,,,,,68,179,,,,,
,,,,,,69,181,,,,,
,,,,,,70,183,,,,,
,,,,,,71,185,,,,,
,,,,,,72,187,,,,,
,,,,,,73,189,,,,,
,,,,,,74,191,,,,,
,,,,,,75,193,,,,,
,,,,,,76,195,,,,,
,,,,,,77,197,,,,,
,,,,,,78,199,,,,,
,,,,,,79,201,,,,,
,,,,,,80,203,,,,,
,,,,,,81,206,,,,,
,,,,,,82,209,,,,,
,,,,,,83,212,,,,,
,,,,,,84,215,,,,,
,,,,,,85,218,,,,,
,,,,,,86,221,,,,,
,,,,,,87,224,,,,,
,,,,,,88,227,,,,,
,,,,,,89,230,,,,,
,,,,,,90,233,,,,,
,,,,,,91,236,,,,,
,,,,,,92,239,,,,,
,,,,,,93,242,,,,,
,,,,,,94,245,,,,,
,,,,,,95,248,,,,,
,,,,,,96,251,,,,,
,,,,,,97,254,,,,,
,,,,,,98,257,,,,,
,,,,,,99,260,,,,,
,,,,,,100,263,,,,,
,,,,,,101,266,,,,,
,,,,,,102,269,,,,,
,,,,,,103,272,,,,,
,,,,,,104,275,,,,,
,,,,,,105,278,,,,,
,,,,,,106,282,,,,,
,,,,,,107,286,,,,,
,,,,,,108,290,,,,,
,,,,,,109,294,,,,,
,,,,,,110,298,,,,,
,,,,,,111,302,,,,,
,,,,,,112,306,,,,,
,,,,,,113,310,,,,,
,,,,,,114,314,,,,,
,,,,,,115,318,,,,,
,,,,,,116,322,,,,,
,,,,,,117,326,,,,,
,,,,,,118,330,,,,,
,,,,,,119,334,,,,,
,,,,,,120,338,,,,,
,,,,,,121,342,,,,,
,,,,,,122,346,,,,,
,,,,,,123,350,,,,,
,,,,,,124,354,,,,,
,,,,,,125,358,,,,,
,,,,,,126,362,,,,,
,,,,,,127,366,,,,,
,,,,,,128,370,,,,,
,,,,,,129,374,,,,,
,,,,,,130,378,,,,,
,,,,,,131,382,,,,,
,,,,,,132,386,,,,,
,,,,,,133,390,,,,,
,,,,,,134,394,,,,,
,,,,,,135,398,,,,,
,,,,,,136,403,,,,,
,,,,,,137,408,,,,,
,,,,,,138,413,,,,,
,,,,,,139,418,,,,,
,,,,,,140,423,,,,,
,,,,,,141,428,,,,,
,,,,,,142,433,,,,,
,,,,,,143,438,,,,,
,,,,,,144,443,,,,,
,,,,,,145,448,,,,,
,,,,,,146,453,,,,,
,,,,,,147,458,,,,,
,,,,,,148,463,,,,,
,,,,,,149,468,,,,,
,,,,,,150,473,,,,,
,,,,,,151,478,,,,,
,,,,,,152,483,,,,,
,,,,,,153,488,,,,,
,,,,,,154,493,,,,,
,,,,,,155,498,,,,,
,,,,,,156,498,,,,,
,,,,,,157,498,,,,,
,,,,,,158,498,,,,,
,,,,,,159,498,,,,,
,,,,,,160,498,,,,,
,,,,,,161,498,,,,,
,,,,,,162,498,,,,,
,,,,,,163,498,,,,,
,,,,,,164,498,,,,,
,,,,,,165,498,,,,,
,,,,,,166,498,,,,,
,,,,,,167,498,,,,,
,,,,,,168,498,,,,,
,,,,,,169,498,,,,,
,,,,,,170,498,,,,,
,,,,,,171,498,,,,,
,,,,,,172,498,,,,,
,,,,,,173,498,,,,,
,,,,,,174,498,,,,,
,,,,,,175,498,,,,,
,,,,,,176,498,,,,,
,,,,,,177,498,,,,,
,,,,,,178,498,,,,,
,,,,,,179,498,,,,,
,,,,,,180,498,,,,,
,,,,,,181,498,,,,,
,,,,,,182,498,,,,,
,,,,,,183,498,,,,,
,,,,,,184,498,,,,,
,,,,,,185,498,,,,,
,,,,,,186,498,,,,,
,,,,,,187,498,,,,,
,,,,,,188,498,,,,,
,,,,,,189,498,,,,,
,,,,,,190,498,,,,,
,,,,,,191,498,,,,,
,,,,,,192,498,,,,,
,,,,,,193,498,,,,,
,,,,,,194,498,,,,,
,,,,,,195,498,,,,,
,,,,,,196,498,,,,,
,,,,,,197,498,,,,,
,,,,,,198,498,,,,,
,,,,,,199,498,,,,,
,,,,,,200,498,,,,,
